home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
America Mineiro,Internacional,2.0,2.0,15.0,6.0,22.0,9.0,5.0,1.0,11.0,5.0,11.0,4.0,12.0,14.0,4.0,6.0,0.0,2.0,43.0,57.0,1.0,2.0,0.0,0.0,2.0,1.0,313.0,405.0,191.0,282.0,61.0,70.0,2
America Mineiro,Internacional,4.0,5.0,2.0,6.0,6.0,13.0,0.0,2.0,3.0,10.0,3.0,3.0,12.0,9.0,3.0,11.0,0.0,3.0,43.0,57.0,2.0,2.0,1.0,1.0,4.0,2.0,426.0,525.0,331.0,451.0,78.0,86.0,2
America Mineiro,Internacional,6.0,3.0,4.0,5.0,13.0,10.0,3.0,2.0,7.0,7.0,6.0,3.0,16.0,20.0,5.0,5.0,1.0,0.0,41.0,59.0,2.0,3.0,0.0,0.0,2.0,5.0,309.0,470.0,225.0,374.0,73.0,80.0,1
America Mineiro,Internacional,6.0,3.0,6.0,6.0,17.0,13.0,5.0,4.0,10.0,9.0,7.0,4.0,7.0,11.0,6.0,8.0,1.0,2.0,53.0,47.0,0.0,0.0,0.0,0.0,3.0,4.0,406.0,359.0,328.0,268.0,81.0,75.0,2
America Mineiro,Palmeiras,1.0,3.0,3.0,5.0,6.0,10.0,2.0,2.0,3.0,7.0,3.0,3.0,17.0,10.0,1.0,4.0,0.0,1.0,51.0,49.0,2.0,1.0,1.0,0.0,1.0,1.0,458.0,437.0,341.0,324.0,74.0,74.0,0
America Mineiro,Palmeiras,4.0,4.0,3.0,5.0,8.0,14.0,1.0,5.0,2.0,7.0,6.0,7.0,16.0,18.0,2.0,9.0,0.0,0.0,50.0,50.0,1.0,2.0,0.0,0.0,4.0,4.0,516.0,489.0,438.0,422.0,85.0,86.0,1
America Mineiro,Palmeiras,6.0,5.0,12.0,7.0,27.0,13.0,9.0,1.0,13.0,8.0,14.0,5.0,13.0,17.0,8.0,5.0,2.0,2.0,61.0,39.0,2.0,3.0,0.0,0.0,4.0,4.0,434.0,297.0,370.0,209.0,85.0,70.0,2
America Mineiro,Palmeiras,3.0,5.0,8.0,9.0,15.0,17.0,4.0,3.0,8.0,11.0,7.0,6.0,16.0,6.0,7.0,7.0,1.0,2.0,48.0,52.0,5.0,3.0,0.0,0.0,4.0,3.0,399.0,419.0,311.0,340.0,78.0,81.0,0
America Mineiro,Sport Recife,5.0,6.0,6.0,4.0,14.0,12.0,3.0,2.0,11.0,10.0,3.0,2.0,13.0,15.0,5.0,4.0,2.0,5.0,51.0,49.0,1.0,3.0,1.0,0.0,4.0,2.0,422.0,405.0,328.0,311.0,78.0,77.0,1
America Mineiro,Sport Recife,4.0,5.0,9.0,6.0,13.0,15.0,0.0,4.0,7.0,7.0,6.0,8.0,11.0,12.0,2.0,6.0,4.0,3.0,38.0,62.0,1.0,3.0,0.0,0.0,5.0,1.0,363.0,581.0,278.0,494.0,77.0,85.0,2
America Mineiro,Sport Recife,3.0,5.0,7.0,5.0,17.0,11.0,7.0,1.0,9.0,3.0,8.0,8.0,19.0,22.0,9.0,4.0,2.0,2.0,64.0,36.0,1.0,3.0,0.0,0.0,4.0,3.0,473.0,271.0,383.0,180.0,81.0,66.0,0
America Mineiro,Fluminense,4.0,3.0,9.0,5.0,17.0,14.0,4.0,6.0,8.0,7.0,9.0,7.0,8.0,9.0,8.0,15.0,2.0,4.0,39.0,61.0,0.0,0.0,0.0,0.0,2.0,4.0,317.0,490.0,230.0,401.0,73.0,82.0,0
