home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Atletico Goianiense,Internacional,0.0,6.0,3.0,8.0,9.0,17.0,6.0,3.0,2.0,9.0,7.0,8.0,20.0,18.0,8.0,9.0,5.0,4.0,41.0,59.0,1.0,4.0,0.0,1.0,6.0,0.0,281.0,397.0,206.0,333.0,73.0,84.0,1
Atletico Goianiense,Internacional,3.0,3.0,3.0,3.0,8.0,7.0,2.0,1.0,5.0,3.0,3.0,4.0,13.0,15.0,6.0,6.0,3.0,1.0,52.0,48.0,1.0,2.0,0.0,0.0,3.0,2.0,429.0,397.0,350.0,303.0,82.0,76.0,1
Atletico Goianiense,Internacional,4.0,4.0,13.0,7.0,19.0,13.0,2.0,2.0,11.0,10.0,8.0,3.0,19.0,13.0,10.0,2.0,0.0,1.0,54.0,46.0,3.0,2.0,0.0,0.0,2.0,3.0,398.0,353.0,329.0,285.0,83.0,81.0,0
Atletico Goianiense,Palmeiras,4.0,9.0,9.0,5.0,14.0,15.0,1.0,1.0,5.0,9.0,9.0,6.0,18.0,13.0,2.0,3.0,2.0,1.0,42.0,58.0,3.0,1.0,1.0,0.0,6.0,3.0,436.0,615.0,372.0,541.0,85.0,88.0,0
Atletico Goianiense,Palmeiras,5.0,4.0,9.0,6.0,20.0,12.0,6.0,2.0,11.0,8.0,9.0,4.0,15.0,17.0,6.0,3.0,0.0,2.0,56.0,44.0,1.0,4.0,0.0,0.0,1.0,5.0,470.0,358.0,410.0,283.0,87.0,79.0,0
Atletico Goianiense,Palmeiras,1.0,6.0,4.0,9.0,11.0,15.0,6.0,0.0,5.0,11.0,6.0,4.0,8.0,16.0,4.0,6.0,4.0,3.0,58.0,42.0,2.0,1.0,0.0,0.0,5.0,1.0,476.0,337.0,407.0,279.0,86.0,83.0,0
Atletico Goianiense,Palmeiras,2.0,6.0,4.0,6.0,9.0,17.0,3.0,5.0,4.0,7.0,5.0,10.0,15.0,8.0,4.0,9.0,1.0,1.0,44.0,56.0,4.0,2.0,0.0,0.0,5.0,1.0,352.0,451.0,272.0,381.0,77.0,84.0,1
Atletico Goianiense,Sport Recife,3.0,3.0,3.0,5.0,6.0,12.0,0.0,4.0,4.0,9.0,2.0,3.0,20.0,15.0,2.0,9.0,1.0,1.0,41.0,59.0,0.0,3.0,0.0,0.0,4.0,1.0,379.0,525.0,285.0,455.0,75.0,87.0,2
Atletico Goianiense,Sport Recife,4.0,4.0,5.0,8.0,10.0,15.0,1.0,3.0,4.0,9.0,6.0,6.0,13.0,15.0,4.0,9.0,0.0,2.0,31.0,69.0,2.0,2.0,1.0,0.0,3.0,3.0,234.0,504.0,156.0,418.0,67.0,83.0,1
Atletico Goianiense,Sport Recife,4.0,3.0,6.0,4.0,13.0,11.0,3.0,4.0,7.0,7.0,6.0,4.0,16.0,9.0,4.0,7.0,0.0,1.0,56.0,44.0,4.0,1.0,0.0,0.0,2.0,3.0,510.0,373.0,450.0,311.0,88.0,83.0,1
Atletico Goianiense,Fluminense,4.0,9.0,5.0,6.0,11.0,17.0,2.0,2.0,7.0,8.0,4.0,9.0,16.0,18.0,4.0,13.0,2.0,1.0,37.0,63.0,1.0,4.0,0.0,0.0,7.0,3.0,284.0,462.0,223.0,417.0,79.0,90.0,1
Atletico Goianiense,Fluminense,5.0,2.0,3.0,1.0,11.0,5.0,3.0,2.0,5.0,4.0,6.0,1.0,18.0,18.0,11.0,6.0,0.0,0.0,39.0,61.0,3.0,4.0,0.0,0.0,1.0,3.0,280.0,453.0,220.0,390.0,79.0,86.0,2
Atletico Goianiense,Fluminense,2.0,2.0,6.0,1.0,9.0,3.0,1.0,0.0,6.0,2.0,3.0,1.0,22.0,17.0,6.0,5.0,0.0,4.0,50.0,50.0,3.0,3.0,0.0,0.0,2.0,1.0,388.0,393.0,321.0,319.0,83.0,81.0,2
Atletico Goianiense,Fluminense,10.0,5.0,12.0,4.0,29.0,13.0,7.0,4.0,19.0,9.0,10.0,4.0,16.0,13.0,12.0,5.0,4.0,1.0,40.0,60.0,4.0,0.0,0.0,0.0,3.0,7.0,304.0,482.0,234.0,416.0,77.0,86.0,2
Atletico Goianiense,Sao Paulo,1.0,2.0,3.0,6.0,6.0,12.0,2.0,4.0,5.0,6.0,1.0,6.0,17.0,9.0,2.0,4.0,2.0,0.0,40.0,60.0,2.0,0.0,0.0,0.0,1.0,1.0,409.0,637.0,351.0,575.0,86.0,90.0,0
Atletico Goianiense,Sao Paulo,3.0,3.0,4.0,7.0,11.0,13.0,4.0,3.0,8.0,8.0,3.0,5.0,13.0,9.0,8.0,5.0,1.0,1.0,40.0,60.0,3.0,1.0,0.0,0.0,2.0,1.0,333.0,500.0,245.0,428.0,74.0,86.0,2
Atletico Goianiense,Sao Paulo,4.0,3.0,2.0,5.0,9.0,13.0,3.0,5.0,3.0,7.0,6.0,6.0,16.0,14.0,3.0,12.0,1.0,1.0,37.0,63.0,4.0,5.0,0.0,0.0,3.0,2.0,286.0,454.0,212.0,389.0,74.0,86.0,2
Atletico Goianiense,Sao Paulo,3.0,2.0,6.0,3.0,11.0,8.0,2.0,3.0,5.0,6.0,6.0,2.0,9.0,20.0,3.0,0.0,2.0,1.0,53.0,47.0,5.0,7.0,0.0,0.0,0.0,2.0,372.0,345.0,305.0,270.0,82.0,78.0,0
Atletico Goianiense,Flamengo,0.0,11.0,2.0,6.0,8.0,20.0,6.0,3.0,3.0,12.0,5.0,8.0,11.0,13.0,4.0,7.0,0.0,1.0,34.0,66.0,2.0,1.0,0.0,0.0,8.0,0.0,332.0,641.0,259.0,571.0,78.0,89.0,0
Atletico Goianiense,Flamengo,7.0,3.0,5.0,3.0,13.0,8.0,1.0,2.0,7.0,5.0,6.0,3.0,15.0,19.0,11.0,5.0,2.0,1.0,35.0,65.0,1.0,1.0,0.0,1.0,3.0,4.0,282.0,550.0,207.0,488.0,73.0,89.0,2
Atletico Goianiense,Flamengo,3.0,7.0,5.0,3.0,13.0,12.0,5.0,2.0,7.0,5.0,6.0,7.0,15.0,7.0,4.0,6.0,1.0,0.0,51.0,49.0,4.0,2.0,0.0,0.0,6.0,1.0,465.0,443.0,411.0,394.0,88.0,89.0,2
Atletico Goianiense,Flamengo,3.0,3.0,2.0,5.0,10.0,12.0,5.0,4.0,9.0,9.0,1.0,3.0,7.0,11.0,4.0,10.0,1.0,2.0,44.0,56.0,3.0,2.0,0.0,0.0,2.0,2.0,402.0,501.0,331.0,439.0,82.0,88.0,1
Atletico Goianiense,Santos,4.0,2.0,4.0,7.0,16.0,13.0,8.0,4.0,10.0,6.0,6.0,7.0,14.0,10.0,3.0,11.0,0.0,4.0,32.0,68.0,4.0,1.0,1.0,0.0,1.0,3.0,263.0,553.0,190.0,494.0,72.0,89.0,1
