home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Atletico Paranaense,Internacional,4.0,6.0,3.0,7.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,2.0,11.0,1.0,1.0,46.0,54.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Atletico Paranaense,Internacional,6.0,5.0,5.0,5.0,16.0,13.0,5.0,3.0,7.0,10.0,9.0,3.0,11.0,12.0,7.0,4.0,1.0,1.0,52.0,48.0,0.0,2.0,0.0,0.0,4.0,4.0,360.0,327.0,267.0,235.0,74.0,72.0,2
Atletico Paranaense,Internacional,6.0,4.0,10.0,7.0,20.0,14.0,4.0,3.0,10.0,6.0,10.0,8.0,11.0,16.0,4.0,6.0,2.0,1.0,52.0,48.0,5.0,5.0,1.0,0.0,2.0,4.0,434.0,385.0,371.0,318.0,85.0,83.0,1
Atletico Paranaense,Internacional,6.0,4.0,7.0,5.0,17.0,12.0,4.0,3.0,9.0,5.0,8.0,7.0,15.0,16.0,6.0,2.0,2.0,3.0,60.0,40.0,3.0,3.0,0.0,0.0,4.0,5.0,460.0,303.0,392.0,239.0,85.0,79.0,2
Atletico Paranaense,Internacional,4.0,1.0,8.0,3.0,12.0,5.0,0.0,1.0,5.0,2.0,7.0,3.0,15.0,20.0,3.0,2.0,2.0,1.0,68.0,32.0,3.0,2.0,0.0,0.0,1.0,4.0,588.0,259.0,507.0,191.0,86.0,74.0,1
Atletico Paranaense,Internacional,4.0,3.0,5.0,7.0,11.0,13.0,2.0,3.0,7.0,8.0,4.0,5.0,14.0,13.0,8.0,2.0,1.0,0.0,52.0,48.0,4.0,3.0,0.0,0.0,2.0,2.0,400.0,374.0,330.0,310.0,83.0,83.0,2
Atletico Paranaense,Internacional,5.0,3.0,8.0,10.0,17.0,17.0,4.0,4.0,9.0,9.0,8.0,8.0,7.0,13.0,5.0,5.0,4.0,2.0,60.0,40.0,1.0,2.0,0.0,0.0,3.0,5.0,502.0,336.0,425.0,250.0,85.0,74.0,1
Atletico Paranaense,Palmeiras,5.0,8.0,6.0,4.0,14.0,12.0,3.0,0.0,6.0,9.0,8.0,3.0,0.0,0.0,1.0,4.0,5.0,4.0,47.0,53.0,2.0,4.0,0.0,2.0,5.0,2.0,363.0,395.0,290.0,315.0,80.0,80.0,1
Atletico Paranaense,Palmeiras,4.0,2.0,2.0,6.0,7.0,12.0,1.0,4.0,1.0,4.0,6.0,8.0,12.0,15.0,4.0,7.0,1.0,3.0,57.0,43.0,3.0,3.0,0.0,0.0,1.0,4.0,485.0,350.0,396.0,264.0,82.0,75.0,0
Atletico Paranaense,Palmeiras,6.0,1.0,0.0,12.0,10.0,17.0,4.0,4.0,8.0,6.0,2.0,11.0,16.0,14.0,6.0,5.0,2.0,1.0,35.0,65.0,3.0,5.0,0.0,0.0,1.0,3.0,332.0,613.0,272.0,563.0,82.0,92.0,2
Atletico Paranaense,Palmeiras,4.0,6.0,4.0,8.0,9.0,15.0,1.0,1.0,6.0,10.0,3.0,5.0,10.0,15.0,3.0,6.0,3.0,1.0,61.0,39.0,1.0,2.0,0.0,0.0,3.0,3.0,619.0,389.0,552.0,302.0,89.0,78.0,0
Atletico Paranaense,Palmeiras,6.0,2.0,5.0,3.0,14.0,8.0,3.0,3.0,9.0,5.0,5.0,3.0,23.0,11.0,2.0,1.0,0.0,4.0,52.0,48.0,1.0,2.0,0.0,0.0,1.0,5.0,431.0,411.0,344.0,327.0,80.0,80.0,1
Atletico Paranaense,Palmeiras,0.0,3.0,5.0,6.0,6.0,10.0,1.0,1.0,3.0,5.0,3.0,5.0,20.0,19.0,5.0,7.0,0.0,2.0,56.0,44.0,5.0,0.0,0.0,0.0,2.0,0.0,452.0,341.0,361.0,267.0,80.0,78.0,0
Atletico Paranaense,Palmeiras,4.0,0.0,10.0,2.0,22.0,4.0,8.0,2.0,11.0,2.0,11.0,2.0,11.0,10.0,8.0,1.0,4.0,0.0,72.0,28.0,1.0,1.0,0.0,0.0,0.0,3.0,601.0,249.0,501.0,155.0,83.0,62.0,1
Atletico Paranaense,Palmeiras,1.0,6.0,5.0,7.0,11.0,17.0,5.0,4.0,0.0,10.0,11.0,7.0,7.0,10.0,0.0,9.0,0.0,2.0,29.0,71.0,5.0,5.0,1.0,0.0,2.0,0.0,234.0,572.0,162.0,506.0,69.0,88.0,0
Atletico Paranaense,Sport Recife,6.0,2.0,4.0,5.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Atletico Paranaense,Sport Recife,6.0,1.0,5.0,5.0,13.0,8.0,2.0,2.0,8.0,6.0,5.0,2.0,11.0,12.0,5.0,6.0,0.0,2.0,42.0,58.0,0.0,2.0,0.0,0.0,1.0,4.0,374.0,518.0,295.0,428.0,79.0,83.0,2
