home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Atletico-MG,Internacional,4.0,4.0,12.0,1.0,20.0,6.0,4.0,1.0,13.0,2.0,7.0,4.0,0.0,0.0,5.0,3.0,3.0,2.0,58.0,42.0,2.0,3.0,0.0,0.0,3.0,2.0,488.0,352.0,398.0,270.0,82.0,77.0,2
Atletico-MG,Internacional,5.0,7.0,4.0,5.0,11.0,14.0,2.0,2.0,8.0,5.0,3.0,9.0,11.0,17.0,5.0,6.0,0.0,2.0,56.0,44.0,2.0,2.0,0.0,0.0,6.0,2.0,509.0,388.0,395.0,305.0,78.0,79.0,2
Atletico-MG,Internacional,3.0,4.0,6.0,2.0,12.0,8.0,3.0,2.0,6.0,5.0,6.0,3.0,13.0,13.0,6.0,2.0,1.0,1.0,63.0,37.0,1.0,1.0,0.0,0.0,3.0,3.0,562.0,329.0,462.0,247.0,82.0,75.0,0
Atletico-MG,Internacional,11.0,9.0,8.0,6.0,24.0,15.0,5.0,0.0,15.0,8.0,9.0,7.0,6.0,14.0,10.0,0.0,0.0,1.0,60.0,40.0,0.0,1.0,0.0,0.0,6.0,10.0,653.0,431.0,581.0,361.0,89.0,84.0,0
Atletico-MG,Internacional,2.0,3.0,6.0,4.0,9.0,10.0,1.0,3.0,4.0,6.0,5.0,4.0,18.0,14.0,3.0,4.0,4.0,5.0,63.0,37.0,2.0,6.0,0.0,0.0,1.0,1.0,584.0,316.0,502.0,241.0,86.0,76.0,1
Atletico-MG,Internacional,3.0,4.0,6.0,2.0,10.0,6.0,1.0,0.0,7.0,3.0,3.0,3.0,16.0,15.0,7.0,6.0,2.0,1.0,56.0,44.0,4.0,2.0,0.0,0.0,4.0,2.0,472.0,372.0,405.0,292.0,86.0,78.0,2
Atletico-MG,Internacional,5.0,1.0,8.0,4.0,15.0,6.0,2.0,1.0,7.0,3.0,8.0,3.0,12.0,18.0,3.0,3.0,2.0,0.0,53.0,47.0,2.0,4.0,0.0,0.0,1.0,3.0,533.0,475.0,466.0,404.0,87.0,85.0,2
Atletico-MG,Palmeiras,3.0,3.0,9.0,5.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,7.0,2.0,5.0,2.0,40.0,60.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Atletico-MG,Palmeiras,5.0,4.0,5.0,5.0,12.0,12.0,2.0,3.0,8.0,6.0,4.0,6.0,18.0,27.0,3.0,3.0,5.0,0.0,66.0,34.0,2.0,4.0,0.0,0.0,3.0,4.0,451.0,227.0,366.0,157.0,81.0,69.0,1
Atletico-MG,Palmeiras,6.0,5.0,12.0,2.0,21.0,9.0,3.0,2.0,13.0,4.0,8.0,5.0,14.0,18.0,9.0,4.0,4.0,3.0,61.0,39.0,3.0,3.0,0.0,2.0,4.0,5.0,455.0,299.0,391.0,235.0,86.0,79.0,1
Atletico-MG,Palmeiras,8.0,3.0,8.0,3.0,18.0,7.0,2.0,1.0,8.0,4.0,10.0,3.0,22.0,14.0,6.0,4.0,0.0,4.0,55.0,45.0,3.0,2.0,0.0,0.0,2.0,7.0,430.0,346.0,339.0,255.0,79.0,74.0,1
Atletico-MG,Palmeiras,3.0,7.0,4.0,6.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,8.0,3.0,0.0,1.0,56.0,44.0,1.0,3.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
