home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Avai,Internacional,4.0,4.0,4.0,6.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,5.0,8.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Avai,Internacional,6.0,10.0,6.0,11.0,17.0,26.0,5.0,5.0,10.0,17.0,7.0,9.0,7.0,16.0,6.0,8.0,0.0,2.0,29.0,71.0,1.0,3.0,1.0,0.0,8.0,6.0,275.0,669.0,206.0,602.0,75.0,90.0,0
Avai,Internacional,2.0,5.0,5.0,5.0,10.0,14.0,3.0,4.0,7.0,11.0,3.0,3.0,15.0,9.0,8.0,4.0,0.0,0.0,50.0,50.0,5.0,1.0,0.0,0.0,4.0,2.0,464.0,476.0,370.0,385.0,80.0,81.0,0
Avai,Palmeiras,4.0,7.0,5.0,7.0,11.0,17.0,2.0,3.0,7.0,10.0,4.0,7.0,0.0,0.0,1.0,5.0,2.0,1.0,53.0,47.0,3.0,4.0,0.0,0.0,4.0,3.0,379.0,330.0,277.0,207.0,73.0,63.0,0
Avai,Palmeiras,4.0,8.0,5.0,13.0,9.0,21.0,0.0,0.0,6.0,9.0,3.0,12.0,9.0,10.0,2.0,3.0,6.0,1.0,29.0,71.0,2.0,2.0,0.0,0.0,7.0,2.0,284.0,694.0,212.0,627.0,75.0,90.0,2
Avai,Palmeiras,6.0,4.0,2.0,5.0,11.0,15.0,3.0,6.0,5.0,11.0,6.0,4.0,18.0,17.0,6.0,5.0,0.0,2.0,37.0,63.0,3.0,2.0,0.0,0.0,2.0,5.0,262.0,465.0,174.0,386.0,66.0,83.0,0
Avai,Palmeiras,4.0,4.0,3.0,8.0,7.0,15.0,0.0,3.0,2.0,12.0,5.0,3.0,18.0,17.0,2.0,5.0,0.0,1.0,49.0,51.0,4.0,1.0,0.0,0.0,2.0,2.0,395.0,390.0,310.0,290.0,78.0,74.0,1
Avai,Sport Recife,6.0,4.0,3.0,4.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,5.0,9.0,4.0,2.0,51.0,49.0,6.0,3.0,1.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Avai,Sport Recife,1.0,3.0,6.0,6.0,7.0,14.0,0.0,5.0,3.0,4.0,4.0,10.0,26.0,25.0,2.0,5.0,0.0,1.0,35.0,65.0,4.0,4.0,0.0,0.0,2.0,0.0,322.0,600.0,232.0,516.0,72.0,86.0,2
Avai,Fluminense,2.0,3.0,1.0,6.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,6.0,9.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2
