home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Bahia,Internacional,2.0,5.0,13.0,6.0,20.0,14.0,5.0,3.0,13.0,7.0,7.0,7.0,15.0,18.0,3.0,5.0,0.0,1.0,61.0,39.0,1.0,2.0,0.0,0.0,4.0,2.0,517.0,343.0,440.0,257.0,85.0,75.0,0
Bahia,Internacional,5.0,6.0,6.0,7.0,13.0,17.0,2.0,4.0,9.0,10.0,4.0,7.0,16.0,11.0,6.0,4.0,1.0,2.0,55.0,45.0,1.0,5.0,0.0,0.0,3.0,3.0,469.0,387.0,367.0,310.0,78.0,80.0,0
Bahia,Internacional,3.0,10.0,9.0,2.0,14.0,15.0,2.0,3.0,8.0,11.0,6.0,4.0,18.0,12.0,6.0,7.0,0.0,2.0,51.0,49.0,3.0,1.0,0.0,0.0,8.0,2.0,373.0,359.0,292.0,285.0,78.0,79.0,0
Bahia,Internacional,3.0,4.0,9.0,2.0,14.0,6.0,2.0,0.0,8.0,6.0,6.0,0.0,14.0,16.0,6.0,5.0,2.0,2.0,67.0,33.0,4.0,4.0,0.0,1.0,3.0,3.0,490.0,242.0,413.0,167.0,84.0,69.0,0
Bahia,Palmeiras,9.0,5.0,5.0,6.0,15.0,17.0,1.0,6.0,8.0,9.0,7.0,8.0,14.0,23.0,3.0,5.0,2.0,1.0,61.0,39.0,2.0,5.0,0.0,0.0,1.0,7.0,442.0,271.0,353.0,171.0,80.0,63.0,0
Bahia,Palmeiras,3.0,1.0,3.0,3.0,9.0,7.0,3.0,3.0,3.0,3.0,6.0,4.0,14.0,11.0,6.0,3.0,0.0,2.0,42.0,58.0,1.0,2.0,0.0,0.0,0.0,2.0,384.0,555.0,293.0,450.0,76.0,81.0,1
Bahia,Palmeiras,5.0,5.0,5.0,13.0,15.0,22.0,5.0,4.0,9.0,10.0,6.0,12.0,17.0,16.0,2.0,4.0,1.0,0.0,45.0,55.0,2.0,0.0,0.0,0.0,4.0,4.0,405.0,485.0,342.0,423.0,84.0,87.0,1
Bahia,Palmeiras,1.0,5.0,1.0,3.0,9.0,11.0,7.0,3.0,3.0,6.0,6.0,5.0,15.0,16.0,8.0,2.0,1.0,4.0,49.0,51.0,2.0,2.0,0.0,0.0,4.0,0.0,419.0,454.0,346.0,369.0,83.0,81.0,1
Bahia,Palmeiras,5.0,2.0,5.0,5.0,17.0,9.0,7.0,2.0,9.0,3.0,8.0,6.0,22.0,13.0,14.0,5.0,3.0,1.0,52.0,48.0,4.0,2.0,0.0,1.0,2.0,5.0,375.0,378.0,313.0,313.0,83.0,83.0,1
Bahia,Sport Recife,7.0,9.0,5.0,5.0,16.0,15.0,4.0,1.0,6.0,10.0,10.0,5.0,18.0,24.0,2.0,3.0,1.0,1.0,56.0,44.0,2.0,6.0,0.0,0.0,6.0,6.0,492.0,383.0,389.0,282.0,79.0,74.0,0
Bahia,Sport Recife,8.0,2.0,3.0,7.0,13.0,10.0,2.0,1.0,9.0,5.0,4.0,5.0,19.0,19.0,8.0,4.0,1.0,2.0,48.0,52.0,1.0,1.0,0.0,0.0,2.0,6.0,409.0,436.0,306.0,330.0,75.0,76.0,2
Bahia,Sport Recife,11.0,2.0,8.0,2.0,24.0,5.0,5.0,1.0,15.0,5.0,9.0,0.0,15.0,13.0,11.0,0.0,2.0,0.0,59.0,41.0,2.0,3.0,0.0,0.0,0.0,10.0,488.0,361.0,403.0,261.0,83.0,72.0,0
Bahia,Sport Recife,4.0,2.0,15.0,4.0,21.0,8.0,2.0,2.0,13.0,3.0,8.0,5.0,16.0,18.0,11.0,2.0,0.0,1.0,60.0,40.0,2.0,3.0,0.0,0.0,1.0,4.0,509.0,354.0,443.0,274.0,87.0,77.0,0
Bahia,Fluminense,5.0,2.0,10.0,4.0,20.0,7.0,5.0,1.0,9.0,5.0,11.0,2.0,16.0,18.0,10.0,2.0,2.0,1.0,72.0,28.0,4.0,2.0,0.0,0.0,0.0,4.0,620.0,242.0,551.0,172.0,89.0,71.0,1
Bahia,Fluminense,7.0,1.0,5.0,2.0,13.0,6.0,1.0,3.0,10.0,2.0,3.0,4.0,23.0,9.0,3.0,1.0,1.0,2.0,55.0,45.0,2.0,1.0,0.0,0.0,1.0,5.0,478.0,390.0,388.0,302.0,81.0,77.0,2
Bahia,Fluminense,5.0,4.0,1.0,4.0,10.0,11.0,4.0,3.0,4.0,6.0,6.0,5.0,9.0,10.0,3.0,3.0,0.0,2.0,33.0,67.0,2.0,4.0,0.0,1.0,2.0,2.0,303.0,605.0,229.0,546.0,76.0,90.0,2
Bahia,Fluminense,6.0,6.0,3.0,6.0,12.0,13.0,3.0,1.0,4.0,7.0,8.0,6.0,15.0,11.0,4.0,1.0,0.0,2.0,54.0,46.0,1.0,1.0,0.0,0.0,5.0,6.0,514.0,431.0,450.0,370.0,88.0,86.0,0
Bahia,Fluminense,6.0,1.0,5.0,5.0,14.0,9.0,3.0,3.0,11.0,7.0,3.0,2.0,13.0,20.0,11.0,3.0,0.0,1.0,37.0,63.0,2.0,5.0,1.0,1.0,1.0,4.0,279.0,503.0,211.0,441.0,76.0,88.0,2
Bahia,Sao Paulo,5.0,4.0,4.0,2.0,11.0,11.0,2.0,5.0,6.0,4.0,5.0,7.0,20.0,12.0,2.0,8.0,5.0,0.0,32.0,68.0,4.0,2.0,0.0,0.0,3.0,3.0,271.0,567.0,196.0,480.0,72.0,85.0,2
Bahia,Sao Paulo,5.0,4.0,5.0,4.0,11.0,10.0,1.0,2.0,6.0,7.0,5.0,3.0,20.0,14.0,3.0,3.0,1.0,1.0,48.0,52.0,5.0,3.0,0.0,0.0,1.0,3.0,378.0,392.0,296.0,299.0,78.0,76.0,1
Bahia,Sao Paulo,6.0,2.0,4.0,1.0,14.0,8.0,4.0,5.0,9.0,3.0,5.0,5.0,10.0,15.0,3.0,5.0,3.0,2.0,40.0,60.0,2.0,1.0,0.0,0.0,1.0,6.0,378.0,565.0,310.0,489.0,82.0,87.0,1
Bahia,Sao Paulo,6.0,8.0,4.0,4.0,15.0,17.0,5.0,5.0,8.0,10.0,7.0,7.0,12.0,15.0,5.0,9.0,1.0,1.0,36.0,64.0,0.0,2.0,0.0,0.0,5.0,5.0,347.0,597.0,282.0,540.0,81.0,90.0,0
Bahia,Sao Paulo,4.0,3.0,4.0,2.0,15.0,8.0,7.0,3.0,10.0,5.0,5.0,3.0,11.0,18.0,11.0,6.0,4.0,4.0,43.0,57.0,1.0,2.0,0.0,0.0,3.0,3.0,377.0,522.0,299.0,447.0,79.0,86.0,2
Bahia,Flamengo,3.0,4.0,6.0,4.0,14.0,13.0,5.0,5.0,5.0,8.0,9.0,5.0,6.0,23.0,5.0,3.0,1.0,0.0,42.0,58.0,3.0,3.0,1.0,0.0,3.0,3.0,375.0,518.0,295.0,439.0,79.0,85.0,0
Bahia,Flamengo,3.0,5.0,5.0,2.0,13.0,11.0,5.0,4.0,3.0,4.0,10.0,7.0,16.0,17.0,4.0,3.0,2.0,2.0,32.0,68.0,2.0,1.0,0.0,0.0,4.0,3.0,257.0,562.0,186.0,474.0,72.0,84.0,1
Bahia,Flamengo,7.0,1.0,1.0,5.0,10.0,13.0,2.0,7.0,7.0,8.0,3.0,5.0,18.0,14.0,4.0,7.0,4.0,2.0,31.0,69.0,1.0,1.0,1.0,0.0,1.0,4.0,273.0,582.0,179.0,483.0,66.0,83.0,2
Bahia,Flamengo,6.0,9.0,6.0,7.0,14.0,20.0,2.0,4.0,6.0,13.0,8.0,7.0,8.0,17.0,5.0,6.0,2.0,2.0,41.0,59.0,1.0,2.0,0.0,0.0,3.0,3.0,459.0,647.0,382.0,557.0,83.0,86.0,0
Bahia,Flamengo,3.0,10.0,5.0,4.0,11.0,16.0,3.0,2.0,7.0,10.0,4.0,6.0,18.0,8.0,4.0,3.0,0.0,2.0,35.0,65.0,5.0,1.0,0.0,0.0,5.0,3.0,332.0,633.0,269.0,567.0,81.0,90.0,0
Bahia,Santos,4.0,7.0,2.0,4.0,10.0,12.0,4.0,1.0,7.0,8.0,4.0,4.0,17.0,16.0,3.0,11.0,1.0,1.0,40.0,60.0,3.0,2.0,0.0,0.0,6.0,2.0,338.0,491.0,280.0,423.0,83.0,86.0,2
Bahia,Santos,5.0,2.0,5.0,4.0,12.0,8.0,2.0,2.0,8.0,6.0,4.0,2.0,29.0,21.0,7.0,6.0,2.0,5.0,53.0,47.0,4.0,3.0,0.0,0.0,2.0,4.0,395.0,352.0,334.0,284.0,85.0,81.0,2
Bahia,Santos,2.0,7.0,4.0,7.0,11.0,17.0,5.0,3.0,5.0,9.0,6.0,8.0,14.0,11.0,5.0,7.0,0.0,1.0,38.0,62.0,2.0,3.0,0.0,0.0,6.0,2.0,318.0,525.0,237.0,443.0,75.0,84.0,0
Bahia,Santos,5.0,5.0,8.0,6.0,16.0,15.0,3.0,4.0,11.0,7.0,5.0,8.0,11.0,13.0,4.0,4.0,2.0,1.0,48.0,52.0,0.0,0.0,0.0,0.0,5.0,3.0,447.0,476.0,383.0,425.0,86.0,89.0,2
Bahia,Santos,3.0,4.0,2.0,5.0,5.0,12.0,0.0,3.0,4.0,3.0,1.0,9.0,18.0,9.0,4.0,11.0,2.0,2.0,34.0,66.0,3.0,3.0,0.0,0.0,4.0,0.0,305.0,559.0,231.0,498.0,76.0,89.0,2
Bahia,Gremio,6.0,4.0,5.0,7.0,15.0,14.0,4.0,3.0,6.0,4.0,9.0,10.0,18.0,17.0,3.0,4.0,1.0,1.0,41.0,59.0,4.0,5.0,0.0,0.0,4.0,5.0,349.0,493.0,267.0,407.0,77.0,83.0,2
Bahia,Gremio,2.0,4.0,8.0,5.0,15.0,10.0,5.0,1.0,6.0,7.0,9.0,3.0,18.0,16.0,5.0,1.0,0.0,4.0,56.0,44.0,2.0,5.0,0.0,0.0,2.0,2.0,467.0,372.0,381.0,298.0,82.0,80.0,0
Bahia,Gremio,4.0,2.0,4.0,3.0,14.0,7.0,6.0,2.0,9.0,3.0,5.0,4.0,8.0,10.0,10.0,4.0,0.0,5.0,43.0,57.0,1.0,2.0,0.0,0.0,1.0,3.0,394.0,532.0,329.0,467.0,84.0,88.0,2
Bahia,Gremio,6.0,6.0,9.0,9.0,17.0,18.0,2.0,3.0,9.0,13.0,8.0,5.0,12.0,9.0,8.0,4.0,1.0,2.0,49.0,51.0,1.0,4.0,1.0,1.0,4.0,6.0,456.0,476.0,414.0,416.0,91.0,87.0,0
Bahia,Gremio,6.0,3.0,5.0,4.0,13.0,11.0,2.0,4.0,10.0,5.0,3.0,6.0,15.0,15.0,3.0,9.0,1.0,0.0,35.0,65.0,3.0,3.0,0.0,0.0,2.0,3.0,236.0,441.0,157.0,361.0,67.0,82.0,2
Bahia,Corinthians,3.0,3.0,1.0,3.0,7.0,8.0,3.0,2.0,6.0,4.0,1.0,4.0,11.0,16.0,7.0,4.0,2.0,2.0,47.0,53.0,0.0,2.0,0.0,0.0,3.0,1.0,451.0,515.0,361.0,433.0,80.0,84.0,2
Bahia,Corinthians,10.0,2.0,8.0,5.0,22.0,11.0,4.0,4.0,14.0,7.0,8.0,4.0,19.0,11.0,7.0,8.0,1.0,2.0,40.0,60.0,2.0,1.0,0.0,0.0,2.0,8.0,333.0,510.0,263.0,433.0,79.0,85.0,2
Bahia,Corinthians,6.0,3.0,8.0,3.0,15.0,9.0,1.0,3.0,9.0,5.0,6.0,4.0,17.0,5.0,4.0,4.0,1.0,0.0,43.0,57.0,1.0,4.0,0.0,0.0,1.0,3.0,353.0,473.0,265.0,370.0,75.0,78.0,2
Bahia,Corinthians,7.0,4.0,1.0,7.0,8.0,16.0,0.0,5.0,6.0,13.0,2.0,3.0,24.0,19.0,4.0,10.0,0.0,1.0,41.0,59.0,3.0,1.0,0.0,0.0,3.0,5.0,290.0,379.0,205.0,296.0,71.0,78.0,2
Bahia,Corinthians,2.0,3.0,4.0,5.0,12.0,10.0,6.0,2.0,8.0,5.0,4.0,5.0,10.0,18.0,3.0,8.0,0.0,2.0,52.0,48.0,1.0,3.0,0.0,0.0,3.0,2.0,537.0,505.0,465.0,421.0,87.0,83.0,1
Bahia,Chapecoense-sc,3.0,4.0,6.0,4.0,13.0,9.0,4.0,1.0,10.0,3.0,3.0,6.0,16.0,21.0,9.0,5.0,1.0,1.0,61.0,39.0,6.0,3.0,1.0,0.0,3.0,3.0,432.0,287.0,365.0,212.0,84.0,74.0,0
Bahia,Chapecoense-sc,6.0,2.0,4.0,6.0,15.0,8.0,5.0,0.0,7.0,6.0,8.0,2.0,15.0,22.0,5.0,3.0,1.0,5.0,59.0,41.0,1.0,1.0,0.0,0.0,2.0,5.0,410.0,279.0,325.0,199.0,79.0,71.0,2
Bahia,Chapecoense-sc,7.0,2.0,12.0,4.0,23.0,7.0,4.0,1.0,12.0,5.0,11.0,2.0,20.0,16.0,6.0,4.0,3.0,1.0,66.0,34.0,1.0,3.0,0.0,0.0,1.0,6.0,482.0,245.0,401.0,167.0,83.0,68.0,1
Bahia,Chapecoense-sc,6.0,1.0,5.0,6.0,15.0,11.0,4.0,4.0,10.0,3.0,5.0,8.0,6.0,11.0,4.0,9.0,0.0,0.0,53.0,47.0,1.0,1.0,0.0,0.0,1.0,3.0,519.0,448.0,453.0,377.0,87.0,84.0,2
Bahia,Vasco DA Gama,5.0,0.0,1.0,6.0,11.0,9.0,5.0,3.0,9.0,5.0,2.0,4.0,18.0,18.0,3.0,6.0,2.0,0.0,44.0,56.0,0.0,4.0,0.0,0.0,0.0,2.0,402.0,473.0,323.0,407.0,80.0,86.0,2
Bahia,Vasco DA Gama,6.0,1.0,6.0,1.0,14.0,6.0,2.0,4.0,8.0,1.0,6.0,5.0,20.0,16.0,4.0,2.0,3.0,2.0,51.0,49.0,1.0,7.0,0.0,1.0,1.0,3.0,460.0,442.0,383.0,350.0,83.0,79.0,2
Bahia,Vasco DA Gama,4.0,4.0,9.0,4.0,15.0,10.0,2.0,2.0,6.0,1.0,9.0,9.0,21.0,11.0,2.0,6.0,1.0,2.0,46.0,54.0,4.0,2.0,1.0,1.0,3.0,3.0,436.0,509.0,378.0,452.0,87.0,89.0,1
Bahia,Vasco DA Gama,6.0,1.0,3.0,6.0,13.0,10.0,4.0,3.0,7.0,4.0,6.0,6.0,18.0,15.0,4.0,6.0,0.0,1.0,46.0,54.0,4.0,4.0,0.0,1.0,1.0,3.0,447.0,497.0,380.0,439.0,85.0,88.0,2
Bahia,Atletico Paranaense,9.0,5.0,8.0,3.0,28.0,11.0,11.0,3.0,17.0,8.0,11.0,3.0,11.0,11.0,14.0,3.0,4.0,1.0,39.0,61.0,0.0,2.0,0.0,1.0,3.0,3.0,290.0,473.0,234.0,409.0,81.0,86.0,2
Bahia,Atletico Paranaense,7.0,2.0,11.0,4.0,23.0,9.0,5.0,3.0,11.0,3.0,12.0,6.0,22.0,12.0,8.0,2.0,2.0,1.0,34.0,66.0,2.0,2.0,0.0,0.0,1.0,7.0,334.0,640.0,279.0,568.0,84.0,89.0,1
Bahia,Atletico Paranaense,4.0,5.0,6.0,5.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,4.0,4.0,1.0,1.0,46.0,54.0,2.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bahia,Atletico Paranaense,4.0,1.0,6.0,6.0,11.0,11.0,1.0,4.0,7.0,7.0,4.0,4.0,15.0,14.0,9.0,4.0,3.0,2.0,40.0,60.0,2.0,0.0,0.0,0.0,1.0,3.0,345.0,526.0,282.0,468.0,82.0,89.0,2
Bahia,Atletico Paranaense,7.0,4.0,5.0,3.0,19.0,9.0,7.0,2.0,9.0,4.0,10.0,5.0,12.0,8.0,9.0,2.0,3.0,1.0,70.0,30.0,2.0,1.0,0.0,2.0,3.0,5.0,569.0,255.0,488.0,167.0,86.0,65.0,2
Bahia,Cruzeiro,5.0,4.0,8.0,4.0,19.0,12.0,6.0,4.0,7.0,6.0,12.0,6.0,18.0,12.0,5.0,6.0,0.0,1.0,58.0,42.0,4.0,2.0,0.0,1.0,3.0,4.0,534.0,362.0,469.0,272.0,88.0,75.0,2
Bahia,Cruzeiro,0.0,3.0,10.0,5.0,13.0,17.0,3.0,9.0,5.0,4.0,8.0,13.0,18.0,15.0,7.0,8.0,0.0,3.0,46.0,54.0,4.0,1.0,0.0,0.0,3.0,0.0,341.0,394.0,245.0,311.0,72.0,79.0,1
Bahia,Cruzeiro,1.0,4.0,8.0,6.0,12.0,12.0,3.0,2.0,5.0,5.0,7.0,7.0,17.0,8.0,5.0,5.0,1.0,2.0,57.0,43.0,3.0,1.0,1.0,0.0,4.0,2.0,517.0,383.0,450.0,309.0,87.0,81.0,1
Bahia,Ponte Preta,6.0,0.0,5.0,6.0,17.0,7.0,6.0,1.0,9.0,3.0,8.0,4.0,16.0,18.0,7.0,7.0,0.0,1.0,50.0,50.0,1.0,2.0,0.0,0.0,0.0,4.0,394.0,368.0,311.0,281.0,79.0,76.0,2
Bahia,Ponte Preta,6.0,0.0,5.0,6.0,17.0,7.0,6.0,1.0,9.0,3.0,8.0,4.0,16.0,18.0,7.0,7.0,0.0,1.0,50.0,50.0,1.0,2.0,0.0,0.0,0.0,4.0,394.0,368.0,311.0,281.0,79.0,76.0,2
Bahia,Avai,5.0,4.0,12.0,4.0,22.0,13.0,5.0,5.0,8.0,4.0,14.0,9.0,18.0,12.0,8.0,3.0,0.0,2.0,66.0,34.0,2.0,0.0,0.0,0.0,3.0,4.0,533.0,264.0,450.0,190.0,84.0,72.0,1
Bahia,Avai,11.0,1.0,5.0,7.0,20.0,9.0,4.0,1.0,11.0,5.0,9.0,4.0,27.0,15.0,9.0,1.0,0.0,1.0,52.0,48.0,1.0,2.0,0.0,0.0,1.0,10.0,393.0,367.0,293.0,279.0,75.0,76.0,2
Bahia,Coritiba,3.0,2.0,7.0,6.0,11.0,12.0,1.0,4.0,5.0,4.0,6.0,8.0,13.0,18.0,5.0,3.0,1.0,3.0,52.0,48.0,4.0,5.0,0.0,0.0,1.0,2.0,438.0,389.0,340.0,295.0,78.0,76.0,1
Bahia,Coritiba,5.0,3.0,7.0,8.0,12.0,14.0,0.0,3.0,6.0,8.0,6.0,6.0,16.0,18.0,3.0,8.0,1.0,5.0,45.0,55.0,0.0,5.0,0.0,0.0,3.0,4.0,418.0,485.0,338.0,413.0,81.0,85.0,2
Bahia,Goias,3.0,4.0,9.0,7.0,16.0,11.0,4.0,0.0,10.0,4.0,6.0,7.0,7.0,13.0,6.0,6.0,1.0,1.0,47.0,53.0,2.0,3.0,1.0,0.0,3.0,2.0,435.0,469.0,356.0,384.0,82.0,82.0,1
Bahia,Goias,7.0,6.0,1.0,8.0,9.0,17.0,1.0,3.0,7.0,11.0,2.0,6.0,18.0,13.0,8.0,1.0,1.0,1.0,47.0,53.0,3.0,4.0,1.0,0.0,3.0,4.0,379.0,421.0,294.0,348.0,78.0,83.0,1
Bahia,Atletico-MG,6.0,6.0,8.0,3.0,21.0,11.0,7.0,2.0,13.0,5.0,8.0,6.0,12.0,13.0,8.0,2.0,0.0,1.0,56.0,44.0,1.0,4.0,0.0,0.0,4.0,4.0,446.0,359.0,378.0,283.0,85.0,79.0,1
Bahia,Atletico-MG,6.0,2.0,5.0,2.0,21.0,5.0,10.0,1.0,15.0,3.0,6.0,2.0,15.0,18.0,6.0,3.0,1.0,3.0,57.0,43.0,4.0,2.0,0.0,0.0,1.0,4.0,510.0,405.0,439.0,324.0,86.0,80.0,1
Bahia,Atletico-MG,4.0,3.0,9.0,7.0,16.0,10.0,3.0,0.0,8.0,7.0,8.0,3.0,12.0,20.0,10.0,4.0,0.0,2.0,57.0,43.0,1.0,1.0,0.0,0.0,2.0,3.0,461.0,346.0,385.0,268.0,84.0,77.0,1
Bahia,Atletico-MG,6.0,5.0,4.0,11.0,13.0,20.0,3.0,4.0,8.0,12.0,5.0,8.0,14.0,14.0,2.0,8.0,1.0,1.0,33.0,67.0,4.0,1.0,0.0,0.0,4.0,3.0,295.0,552.0,223.0,483.0,76.0,88.0,2
