home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Botafogo,Internacional,3.0,2.0,6.0,5.0,12.0,13.0,3.0,6.0,6.0,5.0,6.0,8.0,17.0,15.0,4.0,7.0,0.0,0.0,52.0,48.0,3.0,2.0,0.0,0.0,2.0,2.0,385.0,346.0,288.0,259.0,75.0,75.0,2
Botafogo,Internacional,4.0,1.0,5.0,3.0,12.0,5.0,3.0,1.0,6.0,5.0,6.0,0.0,13.0,18.0,1.0,9.0,1.0,3.0,40.0,60.0,2.0,5.0,0.0,2.0,2.0,3.0,333.0,472.0,247.0,392.0,74.0,83.0,2
Botafogo,Internacional,1.0,7.0,5.0,5.0,9.0,17.0,3.0,5.0,5.0,6.0,4.0,11.0,8.0,14.0,5.0,9.0,3.0,1.0,44.0,56.0,2.0,3.0,0.0,0.0,6.0,1.0,373.0,473.0,300.0,405.0,80.0,86.0,0
Botafogo,Internacional,2.0,4.0,4.0,2.0,7.0,7.0,1.0,1.0,3.0,5.0,4.0,2.0,14.0,24.0,5.0,3.0,2.0,2.0,48.0,52.0,3.0,1.0,0.0,0.0,2.0,2.0,472.0,512.0,397.0,441.0,84.0,86.0,0
Botafogo,Internacional,3.0,1.0,4.0,3.0,12.0,11.0,5.0,7.0,5.0,8.0,7.0,3.0,15.0,13.0,3.0,4.0,1.0,3.0,51.0,49.0,3.0,4.0,0.0,0.0,0.0,4.0,486.0,474.0,408.0,376.0,84.0,79.0,0
Botafogo,Palmeiras,4.0,7.0,6.0,4.0,12.0,13.0,2.0,2.0,6.0,4.0,6.0,9.0,20.0,23.0,3.0,4.0,1.0,4.0,46.0,54.0,4.0,3.0,0.0,0.0,6.0,1.0,361.0,400.0,258.0,298.0,71.0,75.0,2
Botafogo,Palmeiras,3.0,3.0,3.0,5.0,12.0,15.0,6.0,7.0,7.0,11.0,5.0,5.0,22.0,14.0,8.0,6.0,1.0,0.0,54.0,46.0,5.0,2.0,0.0,0.0,2.0,2.0,407.0,342.0,309.0,263.0,76.0,77.0,0
Botafogo,Palmeiras,3.0,4.0,9.0,2.0,13.0,7.0,1.0,1.0,7.0,6.0,6.0,1.0,7.0,23.0,8.0,3.0,0.0,0.0,46.0,54.0,1.0,4.0,0.0,0.0,3.0,2.0,409.0,498.0,328.0,407.0,80.0,82.0,1
Botafogo,Palmeiras,2.0,2.0,5.0,11.0,8.0,17.0,1.0,4.0,3.0,11.0,5.0,6.0,13.0,19.0,0.0,8.0,0.0,5.0,62.0,38.0,10.0,0.0,0.0,0.0,1.0,2.0,444.0,252.0,375.0,178.0,84.0,71.0,0
Botafogo,Palmeiras,4.0,4.0,2.0,10.0,11.0,19.0,5.0,5.0,6.0,11.0,5.0,8.0,16.0,15.0,2.0,5.0,0.0,2.0,35.0,65.0,4.0,4.0,0.0,0.0,3.0,2.0,298.0,534.0,225.0,462.0,76.0,87.0,2
