home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
CSA,Internacional,4.0,2.0,7.0,7.0,13.0,14.0,2.0,5.0,6.0,5.0,7.0,9.0,16.0,9.0,3.0,11.0,0.0,4.0,30.0,70.0,2.0,2.0,0.0,0.0,2.0,3.0,256.0,590.0,185.0,523.0,72.0,89.0,2
CSA,Internacional,4.0,2.0,7.0,7.0,13.0,14.0,2.0,5.0,6.0,5.0,7.0,9.0,16.0,9.0,3.0,11.0,0.0,4.0,30.0,70.0,2.0,2.0,0.0,0.0,2.0,3.0,256.0,590.0,185.0,523.0,72.0,89.0,2
CSA,Palmeiras,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,1
CSA,Palmeiras,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,1
CSA,Fluminense,4.0,7.0,11.0,8.0,18.0,19.0,3.0,4.0,10.0,10.0,8.0,9.0,15.0,14.0,5.0,3.0,1.0,2.0,39.0,61.0,2.0,2.0,0.0,0.0,6.0,4.0,372.0,604.0,313.0,555.0,84.0,92.0,0
CSA,Fluminense,4.0,7.0,11.0,8.0,18.0,19.0,3.0,4.0,10.0,10.0,8.0,9.0,15.0,14.0,5.0,3.0,1.0,2.0,39.0,61.0,2.0,2.0,0.0,0.0,6.0,4.0,372.0,604.0,313.0,555.0,84.0,92.0,0
CSA,Sao Paulo,6.0,4.0,13.0,6.0,24.0,13.0,5.0,3.0,11.0,8.0,13.0,5.0,17.0,24.0,6.0,4.0,1.0,1.0,42.0,58.0,1.0,4.0,0.0,1.0,2.0,5.0,348.0,491.0,307.0,442.0,88.0,90.0,0
CSA,Sao Paulo,6.0,4.0,13.0,6.0,24.0,13.0,5.0,3.0,11.0,8.0,13.0,5.0,17.0,24.0,6.0,4.0,1.0,1.0,42.0,58.0,1.0,4.0,0.0,1.0,2.0,5.0,348.0,491.0,307.0,442.0,88.0,90.0,0
CSA,Flamengo,2.0,11.0,5.0,8.0,10.0,24.0,3.0,5.0,4.0,11.0,6.0,13.0,13.0,10.0,3.0,12.0,1.0,2.0,34.0,66.0,3.0,1.0,0.0,0.0,8.0,2.0,274.0,513.0,191.0,439.0,70.0,86.0,0
CSA,Flamengo,2.0,11.0,5.0,8.0,10.0,24.0,3.0,5.0,4.0,11.0,6.0,13.0,13.0,10.0,3.0,12.0,1.0,2.0,34.0,66.0,3.0,1.0,0.0,0.0,8.0,2.0,274.0,513.0,191.0,439.0,70.0,86.0,0
