home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Ceara,Internacional,5.0,4.0,11.0,1.0,21.0,5.0,5.0,0.0,12.0,3.0,9.0,2.0,11.0,15.0,6.0,5.0,2.0,1.0,40.0,60.0,2.0,5.0,0.0,0.0,3.0,4.0,330.0,515.0,273.0,433.0,83.0,84.0,1
Ceara,Internacional,4.0,3.0,4.0,9.0,9.0,16.0,1.0,4.0,6.0,8.0,3.0,8.0,8.0,11.0,6.0,4.0,3.0,1.0,40.0,60.0,2.0,2.0,0.0,0.0,3.0,2.0,413.0,593.0,332.0,516.0,80.0,87.0,2
Ceara,Internacional,6.0,3.0,6.0,3.0,19.0,8.0,7.0,2.0,11.0,5.0,8.0,3.0,18.0,16.0,7.0,4.0,0.0,0.0,60.0,40.0,6.0,4.0,0.0,0.0,1.0,5.0,495.0,329.0,428.0,265.0,86.0,81.0,0
Ceara,Internacional,5.0,1.0,10.0,4.0,16.0,9.0,1.0,4.0,12.0,5.0,4.0,4.0,22.0,16.0,9.0,5.0,1.0,1.0,49.0,51.0,5.0,2.0,0.0,0.0,1.0,5.0,338.0,369.0,263.0,283.0,78.0,77.0,1
Ceara,Internacional,4.0,5.0,3.0,4.0,9.0,12.0,2.0,3.0,5.0,9.0,4.0,3.0,24.0,20.0,3.0,2.0,3.0,0.0,61.0,39.0,4.0,3.0,0.0,1.0,4.0,3.0,389.0,258.0,331.0,200.0,85.0,78.0,1
Ceara,Palmeiras,6.0,3.0,6.0,4.0,17.0,9.0,5.0,2.0,6.0,6.0,11.0,3.0,15.0,12.0,4.0,4.0,1.0,2.0,42.0,58.0,3.0,2.0,0.0,0.0,1.0,4.0,358.0,505.0,281.0,419.0,78.0,83.0,1
Ceara,Palmeiras,4.0,6.0,3.0,9.0,9.0,21.0,2.0,6.0,3.0,10.0,6.0,11.0,26.0,13.0,3.0,9.0,1.0,1.0,42.0,58.0,3.0,2.0,0.0,0.0,6.0,2.0,286.0,367.0,221.0,308.0,77.0,84.0,2
Ceara,Palmeiras,3.0,4.0,5.0,5.0,9.0,12.0,1.0,3.0,7.0,7.0,2.0,5.0,9.0,16.0,2.0,7.0,3.0,6.0,41.0,59.0,4.0,5.0,1.0,0.0,3.0,1.0,340.0,468.0,270.0,401.0,79.0,86.0,2
Ceara,Palmeiras,5.0,5.0,5.0,5.0,14.0,12.0,4.0,2.0,6.0,8.0,8.0,4.0,19.0,11.0,7.0,6.0,2.0,3.0,47.0,53.0,4.0,2.0,0.0,0.0,3.0,4.0,368.0,430.0,303.0,359.0,82.0,83.0,0
Ceara,Palmeiras,7.0,7.0,2.0,5.0,12.0,16.0,3.0,4.0,4.0,8.0,8.0,8.0,14.0,11.0,6.0,5.0,0.0,5.0,47.0,53.0,3.0,3.0,1.0,0.0,5.0,6.0,371.0,424.0,294.0,367.0,79.0,87.0,0
