home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Chapecoense-sc,Internacional,3.0,2.0,8.0,7.0,18.0,11.0,7.0,2.0,11.0,5.0,7.0,6.0,0.0,0.0,9.0,3.0,4.0,7.0,43.0,57.0,4.0,4.0,0.0,1.0,2.0,2.0,318.0,433.0,237.0,339.0,75.0,78.0,2
Chapecoense-sc,Internacional,5.0,3.0,8.0,5.0,16.0,10.0,3.0,2.0,8.0,8.0,8.0,2.0,15.0,18.0,2.0,5.0,1.0,0.0,57.0,43.0,1.0,2.0,0.0,0.0,3.0,4.0,360.0,266.0,255.0,169.0,71.0,64.0,2
Chapecoense-sc,Internacional,5.0,5.0,9.0,9.0,19.0,14.0,5.0,0.0,7.0,10.0,12.0,4.0,14.0,15.0,6.0,4.0,0.0,3.0,51.0,49.0,4.0,4.0,0.0,1.0,4.0,3.0,323.0,318.0,245.0,253.0,76.0,80.0,2
Chapecoense-sc,Internacional,7.0,7.0,4.0,9.0,12.0,20.0,1.0,4.0,5.0,9.0,7.0,11.0,15.0,11.0,3.0,5.0,0.0,2.0,43.0,57.0,1.0,1.0,0.0,0.0,7.0,5.0,395.0,509.0,304.0,410.0,77.0,81.0,2
Chapecoense-sc,Internacional,5.0,10.0,6.0,11.0,11.0,25.0,0.0,4.0,10.0,13.0,1.0,12.0,12.0,19.0,9.0,9.0,2.0,3.0,52.0,48.0,2.0,3.0,1.0,2.0,8.0,4.0,365.0,349.0,288.0,274.0,79.0,79.0,0
Chapecoense-sc,Palmeiras,8.0,4.0,4.0,5.0,13.0,10.0,1.0,1.0,9.0,5.0,4.0,5.0,0.0,0.0,2.0,7.0,0.0,2.0,48.0,52.0,0.0,5.0,0.0,0.0,2.0,3.0,314.0,336.0,218.0,259.0,69.0,77.0,2
Chapecoense-sc,Palmeiras,5.0,11.0,5.0,8.0,13.0,23.0,3.0,4.0,4.0,11.0,9.0,12.0,18.0,15.0,2.0,8.0,1.0,0.0,34.0,66.0,1.0,0.0,0.0,0.0,10.0,3.0,261.0,495.0,154.0,391.0,59.0,79.0,1
Chapecoense-sc,Palmeiras,4.0,1.0,3.0,1.0,11.0,6.0,4.0,4.0,9.0,1.0,2.0,5.0,16.0,13.0,3.0,4.0,1.0,2.0,44.0,56.0,1.0,1.0,0.0,0.0,1.0,3.0,313.0,393.0,219.0,288.0,70.0,73.0,2
Chapecoense-sc,Palmeiras,2.0,5.0,6.0,7.0,11.0,12.0,3.0,0.0,10.0,5.0,1.0,7.0,14.0,23.0,3.0,5.0,1.0,2.0,56.0,44.0,4.0,4.0,0.0,0.0,3.0,1.0,360.0,297.0,255.0,185.0,71.0,62.0,0
Chapecoense-sc,Palmeiras,4.0,6.0,9.0,5.0,18.0,14.0,5.0,3.0,8.0,8.0,10.0,6.0,14.0,21.0,3.0,5.0,1.0,0.0,54.0,46.0,2.0,5.0,0.0,0.0,4.0,3.0,410.0,354.0,334.0,275.0,81.0,78.0,0
Chapecoense-sc,Palmeiras,3.0,7.0,7.0,6.0,15.0,13.0,5.0,0.0,4.0,7.0,11.0,6.0,16.0,14.0,8.0,1.0,1.0,1.0,53.0,47.0,2.0,2.0,0.0,0.0,5.0,3.0,461.0,414.0,392.0,343.0,85.0,83.0,0
Chapecoense-sc,Sport Recife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Chapecoense-sc,Sport Recife,7.0,1.0,9.0,1.0,17.0,7.0,1.0,5.0,12.0,3.0,5.0,4.0,16.0,19.0,5.0,2.0,2.0,1.0,46.0,54.0,1.0,3.0,0.0,1.0,1.0,4.0,366.0,443.0,276.0,348.0,75.0,79.0,2
