home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Corinthians,Internacional,6.0,6.0,4.0,6.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,4.0,7.0,4.0,1.0,52.0,48.0,0.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Corinthians,Internacional,6.0,2.0,8.0,7.0,16.0,10.0,2.0,1.0,9.0,2.0,7.0,8.0,22.0,22.0,10.0,3.0,1.0,2.0,58.0,42.0,2.0,2.0,0.0,0.0,2.0,5.0,481.0,347.0,383.0,240.0,80.0,69.0,2
Corinthians,Internacional,5.0,2.0,3.0,4.0,9.0,8.0,1.0,2.0,5.0,6.0,4.0,2.0,13.0,11.0,2.0,3.0,1.0,1.0,54.0,46.0,0.0,2.0,0.0,0.0,1.0,4.0,580.0,469.0,503.0,402.0,87.0,86.0,1
Corinthians,Internacional,3.0,2.0,9.0,7.0,14.0,13.0,2.0,4.0,5.0,7.0,9.0,6.0,9.0,19.0,5.0,3.0,2.0,0.0,49.0,51.0,0.0,2.0,0.0,0.0,2.0,3.0,413.0,424.0,317.0,321.0,77.0,76.0,1
Corinthians,Internacional,3.0,0.0,4.0,4.0,8.0,7.0,1.0,3.0,1.0,6.0,7.0,1.0,17.0,12.0,2.0,4.0,2.0,2.0,35.0,65.0,4.0,3.0,0.0,1.0,0.0,2.0,313.0,574.0,201.0,453.0,64.0,79.0,2
Corinthians,Internacional,9.0,3.0,8.0,2.0,20.0,7.0,3.0,2.0,12.0,3.0,8.0,4.0,11.0,17.0,3.0,2.0,0.0,2.0,58.0,42.0,2.0,2.0,0.0,0.0,2.0,8.0,538.0,403.0,447.0,297.0,83.0,74.0,1
Corinthians,Internacional,4.0,4.0,3.0,7.0,12.0,14.0,5.0,3.0,7.0,9.0,5.0,5.0,10.0,14.0,2.0,8.0,2.0,1.0,50.0,50.0,2.0,2.0,0.0,0.0,2.0,2.0,493.0,484.0,409.0,384.0,83.0,79.0,1
Corinthians,Palmeiras,2.0,5.0,6.0,4.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,2.0,6.0,4.0,2.0,52.0,48.0,5.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Corinthians,Palmeiras,0.0,4.0,7.0,7.0,12.0,12.0,5.0,1.0,3.0,8.0,9.0,4.0,16.0,16.0,9.0,1.0,0.0,1.0,66.0,34.0,3.0,4.0,1.0,0.0,2.0,0.0,635.0,325.0,536.0,213.0,84.0,66.0,0
Corinthians,Palmeiras,8.0,2.0,4.0,10.0,13.0,16.0,1.0,4.0,11.0,9.0,2.0,7.0,21.0,11.0,6.0,7.0,2.0,1.0,39.0,61.0,6.0,5.0,0.0,1.0,0.0,5.0,250.0,386.0,179.0,304.0,72.0,79.0,2
Corinthians,Palmeiras,5.0,4.0,2.0,5.0,11.0,10.0,4.0,1.0,6.0,4.0,5.0,6.0,15.0,21.0,10.0,3.0,0.0,2.0,53.0,47.0,2.0,3.0,0.0,0.0,4.0,4.0,409.0,366.0,325.0,274.0,79.0,75.0,2
Corinthians,Palmeiras,7.0,6.0,1.0,1.0,9.0,8.0,1.0,1.0,3.0,6.0,6.0,2.0,11.0,24.0,3.0,5.0,1.0,3.0,50.0,50.0,1.0,3.0,0.0,0.0,5.0,6.0,371.0,373.0,296.0,290.0,80.0,78.0,1
Corinthians,Palmeiras,4.0,8.0,4.0,8.0,10.0,21.0,2.0,5.0,5.0,14.0,5.0,7.0,13.0,16.0,5.0,6.0,1.0,2.0,54.0,46.0,4.0,2.0,2.0,0.0,6.0,4.0,517.0,437.0,469.0,387.0,91.0,89.0,0
Corinthians,Palmeiras,3.0,5.0,1.0,9.0,8.0,16.0,4.0,2.0,6.0,8.0,2.0,8.0,8.0,11.0,5.0,9.0,2.0,3.0,49.0,51.0,1.0,1.0,0.0,0.0,4.0,2.0,418.0,426.0,354.0,353.0,85.0,83.0,2
Corinthians,Palmeiras,4.0,3.0,5.0,5.0,14.0,9.0,5.0,1.0,5.0,3.0,9.0,6.0,15.0,10.0,5.0,3.0,1.0,4.0,57.0,43.0,2.0,2.0,0.0,0.0,3.0,4.0,490.0,369.0,400.0,283.0,82.0,77.0,0
