home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Cruzeiro,Internacional,2.0,1.0,9.0,6.0,11.0,9.0,0.0,2.0,5.0,6.0,6.0,3.0,0.0,0.0,5.0,6.0,3.0,0.0,54.0,46.0,2.0,2.0,0.0,0.0,2.0,2.0,476.0,391.0,381.0,297.0,80.0,76.0,1
Cruzeiro,Internacional,6.0,4.0,6.0,5.0,12.0,11.0,0.0,2.0,8.0,7.0,4.0,4.0,10.0,14.0,6.0,4.0,1.0,2.0,42.0,58.0,1.0,1.0,0.0,0.0,2.0,2.0,347.0,474.0,260.0,400.0,75.0,84.0,2
Cruzeiro,Internacional,4.0,4.0,9.0,8.0,19.0,14.0,6.0,2.0,8.0,9.0,11.0,5.0,16.0,14.0,8.0,5.0,3.0,0.0,51.0,49.0,3.0,2.0,0.0,0.0,4.0,4.0,457.0,445.0,386.0,373.0,84.0,84.0,1
Cruzeiro,Internacional,5.0,2.0,7.0,8.0,15.0,12.0,3.0,2.0,8.0,7.0,7.0,5.0,18.0,14.0,3.0,3.0,0.0,1.0,52.0,48.0,5.0,3.0,0.0,0.0,1.0,4.0,467.0,433.0,382.0,360.0,82.0,83.0,1
Cruzeiro,Palmeiras,7.0,6.0,5.0,2.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,5.0,7.0,4.0,4.0,51.0,49.0,4.0,3.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Cruzeiro,Palmeiras,8.0,4.0,7.0,4.0,20.0,10.0,5.0,2.0,17.0,9.0,3.0,1.0,13.0,14.0,5.0,6.0,1.0,3.0,50.0,50.0,4.0,2.0,0.0,0.0,3.0,6.0,390.0,384.0,290.0,265.0,74.0,69.0,2
Cruzeiro,Palmeiras,6.0,1.0,4.0,5.0,11.0,8.0,1.0,2.0,4.0,5.0,7.0,3.0,12.0,15.0,1.0,9.0,0.0,3.0,38.0,62.0,1.0,4.0,0.0,0.0,0.0,3.0,306.0,484.0,236.0,393.0,77.0,81.0,2
Cruzeiro,Palmeiras,1.0,4.0,3.0,0.0,8.0,6.0,4.0,2.0,4.0,2.0,4.0,4.0,26.0,18.0,3.0,3.0,3.0,1.0,50.0,50.0,3.0,6.0,0.0,0.0,4.0,0.0,439.0,439.0,348.0,353.0,79.0,80.0,2
Cruzeiro,Palmeiras,3.0,4.0,2.0,3.0,9.0,7.0,4.0,0.0,5.0,5.0,4.0,2.0,11.0,11.0,4.0,3.0,1.0,2.0,56.0,44.0,0.0,1.0,0.0,0.0,3.0,3.0,505.0,385.0,437.0,314.0,87.0,82.0,0
Cruzeiro,Sport Recife,4.0,4.0,8.0,6.0,21.0,15.0,9.0,5.0,15.0,7.0,7.0,8.0,0.0,0.0,13.0,13.0,3.0,3.0,47.0,53.0,2.0,4.0,0.0,0.0,4.0,2.0,369.0,410.0,318.0,344.0,86.0,84.0,2
Cruzeiro,Sport Recife,11.0,5.0,15.0,0.0,29.0,8.0,3.0,3.0,15.0,8.0,14.0,0.0,15.0,18.0,12.0,3.0,2.0,1.0,60.0,40.0,1.0,4.0,0.0,0.0,3.0,9.0,442.0,304.0,329.0,201.0,74.0,66.0,0
Cruzeiro,Sport Recife,5.0,0.0,5.0,6.0,11.0,9.0,1.0,3.0,7.0,5.0,4.0,4.0,11.0,12.0,5.0,3.0,6.0,0.0,44.0,56.0,1.0,0.0,0.0,0.0,0.0,3.0,432.0,526.0,353.0,446.0,82.0,85.0,2
Cruzeiro,Sport Recife,5.0,4.0,6.0,5.0,15.0,10.0,4.0,1.0,8.0,7.0,7.0,3.0,18.0,16.0,7.0,4.0,4.0,2.0,56.0,44.0,2.0,3.0,0.0,0.0,5.0,3.0,481.0,389.0,414.0,321.0,86.0,83.0,2
Cruzeiro,Fluminense,8.0,0.0,11.0,6.0,21.0,6.0,2.0,0.0,15.0,1.0,6.0,5.0,0.0,0.0,7.0,3.0,1.0,0.0,49.0,51.0,2.0,1.0,0.0,0.0,0.0,6.0,426.0,430.0,360.0,371.0,85.0,86.0,2
