home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Cuiaba,Internacional,5.0,4.0,7.0,6.0,21.0,11.0,9.0,1.0,14.0,9.0,7.0,2.0,14.0,17.0,6.0,4.0,1.0,1.0,49.0,51.0,4.0,1.0,0.0,0.0,4.0,4.0,408.0,422.0,346.0,347.0,85.0,82.0,2
Cuiaba,Internacional,3.0,4.0,4.0,6.0,11.0,14.0,4.0,4.0,7.0,12.0,4.0,2.0,9.0,12.0,4.0,11.0,2.0,1.0,42.0,58.0,3.0,7.0,1.0,0.0,3.0,2.0,316.0,426.0,246.0,359.0,78.0,84.0,1
Cuiaba,Palmeiras,6.0,5.0,7.0,7.0,21.0,13.0,8.0,1.0,9.0,7.0,12.0,6.0,15.0,10.0,12.0,4.0,3.0,0.0,59.0,41.0,4.0,3.0,0.0,1.0,2.0,6.0,457.0,337.0,384.0,266.0,84.0,79.0,0
Cuiaba,Palmeiras,4.0,12.0,5.0,8.0,12.0,28.0,3.0,8.0,11.0,18.0,1.0,10.0,13.0,8.0,4.0,9.0,2.0,3.0,34.0,66.0,2.0,0.0,0.0,0.0,11.0,3.0,254.0,493.0,163.0,402.0,64.0,82.0,1
Cuiaba,Sport Recife,8.0,3.0,5.0,8.0,16.0,12.0,3.0,1.0,5.0,6.0,11.0,6.0,14.0,8.0,2.0,5.0,2.0,1.0,55.0,45.0,4.0,0.0,0.0,0.0,3.0,6.0,491.0,395.0,419.0,330.0,85.0,84.0,2
Cuiaba,Sport Recife,8.0,3.0,5.0,8.0,16.0,12.0,3.0,1.0,5.0,6.0,11.0,6.0,14.0,8.0,2.0,5.0,2.0,1.0,55.0,45.0,4.0,0.0,0.0,0.0,3.0,6.0,491.0,395.0,419.0,330.0,85.0,84.0,2
Cuiaba,Fluminense,3.0,5.0,2.0,5.0,7.0,12.0,2.0,2.0,3.0,6.0,4.0,6.0,15.0,16.0,1.0,5.0,1.0,2.0,58.0,42.0,2.0,2.0,1.0,0.0,3.0,1.0,477.0,333.0,409.0,274.0,86.0,82.0,1
Cuiaba,Fluminense,1.0,3.0,1.0,8.0,5.0,12.0,3.0,1.0,2.0,6.0,3.0,6.0,18.0,14.0,2.0,5.0,1.0,0.0,39.0,61.0,2.0,1.0,0.0,0.0,3.0,1.0,332.0,525.0,244.0,456.0,73.0,87.0,0
Cuiaba,Sao Paulo,6.0,2.0,8.0,5.0,15.0,9.0,1.0,2.0,4.0,4.0,11.0,5.0,14.0,16.0,4.0,2.0,1.0,0.0,35.0,65.0,2.0,2.0,0.0,0.0,2.0,6.0,300.0,569.0,223.0,496.0,74.0,87.0,1
Cuiaba,Sao Paulo,4.0,2.0,6.0,6.0,12.0,10.0,2.0,2.0,11.0,8.0,1.0,2.0,18.0,9.0,7.0,5.0,5.0,4.0,33.0,67.0,3.0,3.0,0.0,1.0,1.0,3.0,278.0,575.0,207.0,505.0,74.0,88.0,1
