home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Figueirense,Internacional,6.0,4.0,7.0,10.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,4.0,4.0,0.0,1.0,52.0,48.0,4.0,2.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Figueirense,Internacional,6.0,7.0,6.0,7.0,16.0,19.0,4.0,5.0,9.0,10.0,7.0,9.0,16.0,15.0,7.0,12.0,4.0,0.0,41.0,59.0,3.0,0.0,0.0,0.0,5.0,3.0,277.0,370.0,184.0,271.0,66.0,73.0,2
Figueirense,Palmeiras,6.0,8.0,2.0,7.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,15.0,2.0,4.0,8.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Figueirense,Palmeiras,2.0,6.0,3.0,4.0,5.0,19.0,0.0,9.0,1.0,10.0,4.0,9.0,18.0,29.0,2.0,7.0,2.0,2.0,48.0,52.0,4.0,3.0,0.0,0.0,3.0,1.0,285.0,302.0,187.0,207.0,66.0,69.0,0
Figueirense,Sport Recife,4.0,4.0,3.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,8.0,6.0,8.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Figueirense,Sport Recife,4.0,6.0,5.0,5.0,13.0,16.0,4.0,5.0,6.0,7.0,7.0,9.0,18.0,16.0,3.0,5.0,1.0,1.0,41.0,59.0,5.0,3.0,0.0,0.0,5.0,3.0,297.0,439.0,206.0,331.0,69.0,75.0,1
Figueirense,Fluminense,3.0,1.0,7.0,5.0,17.0,8.0,7.0,2.0,12.0,4.0,5.0,4.0,0.0,0.0,7.0,5.0,0.0,1.0,39.0,61.0,4.0,4.0,0.0,0.0,1.0,2.0,262.0,421.0,187.0,346.0,71.0,82.0,2
Figueirense,Fluminense,3.0,1.0,5.0,3.0,11.0,5.0,3.0,1.0,8.0,1.0,3.0,4.0,26.0,28.0,4.0,4.0,0.0,1.0,42.0,58.0,3.0,3.0,0.0,0.0,1.0,2.0,341.0,470.0,241.0,382.0,71.0,81.0,2
Figueirense,Sao Paulo,3.0,3.0,7.0,2.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,18.0,6.0,6.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Figueirense,Sao Paulo,5.0,0.0,7.0,8.0,17.0,12.0,5.0,4.0,8.0,5.0,9.0,7.0,16.0,19.0,5.0,5.0,0.0,1.0,37.0,63.0,2.0,1.0,0.0,0.0,0.0,4.0,257.0,456.0,148.0,366.0,58.0,80.0,2
Figueirense,Flamengo,8.0,3.0,5.0,7.0,15.0,11.0,2.0,1.0,11.0,4.0,4.0,7.0,0.0,0.0,4.0,3.0,1.0,2.0,33.0,67.0,1.0,1.0,0.0,0.0,3.0,3.0,228.0,479.0,144.0,404.0,63.0,84.0,2
Figueirense,Flamengo,5.0,8.0,3.0,5.0,8.0,16.0,0.0,3.0,4.0,8.0,4.0,8.0,17.0,17.0,4.0,4.0,1.0,0.0,37.0,63.0,2.0,2.0,0.0,0.0,8.0,4.0,282.0,474.0,201.0,397.0,71.0,84.0,2
Figueirense,Santos,4.0,5.0,10.0,2.0,16.0,8.0,2.0,1.0,7.0,4.0,9.0,4.0,0.0,0.0,4.0,4.0,3.0,1.0,38.0,62.0,5.0,2.0,0.0,0.0,5.0,4.0,281.0,485.0,214.0,413.0,76.0,85.0,1
Figueirense,Santos,5.0,2.0,2.0,5.0,13.0,8.0,6.0,1.0,7.0,4.0,6.0,4.0,21.0,12.0,7.0,2.0,2.0,1.0,46.0,54.0,2.0,3.0,0.0,1.0,0.0,3.0,403.0,484.0,327.0,407.0,81.0,84.0,1
Figueirense,Gremio,6.0,3.0,7.0,2.0,14.0,6.0,1.0,1.0,7.0,5.0,7.0,1.0,0.0,0.0,9.0,4.0,3.0,1.0,64.0,36.0,4.0,4.0,0.0,0.0,1.0,4.0,572.0,330.0,484.0,237.0,85.0,72.0,0
Figueirense,Gremio,1.0,4.0,5.0,5.0,9.0,11.0,3.0,2.0,4.0,3.0,5.0,8.0,22.0,18.0,8.0,3.0,2.0,2.0,50.0,50.0,2.0,2.0,0.0,0.0,4.0,1.0,347.0,374.0,244.0,264.0,70.0,71.0,1
