home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Flamengo,Internacional,3.0,1.0,10.0,6.0,17.0,8.0,4.0,1.0,9.0,4.0,8.0,4.0,0.0,0.0,5.0,1.0,0.0,0.0,62.0,38.0,0.0,2.0,0.0,0.0,0.0,3.0,459.0,286.0,347.0,175.0,76.0,61.0,0
Flamengo,Internacional,9.0,0.0,8.0,5.0,21.0,7.0,4.0,2.0,12.0,2.0,9.0,5.0,11.0,22.0,8.0,0.0,1.0,1.0,41.0,59.0,1.0,1.0,0.0,0.0,0.0,7.0,373.0,550.0,289.0,454.0,77.0,83.0,2
Flamengo,Internacional,7.0,4.0,6.0,4.0,17.0,11.0,4.0,3.0,9.0,6.0,8.0,5.0,12.0,15.0,6.0,6.0,1.0,0.0,57.0,43.0,5.0,4.0,0.0,1.0,4.0,5.0,470.0,345.0,408.0,283.0,87.0,82.0,2
Flamengo,Internacional,7.0,2.0,10.0,1.0,21.0,3.0,4.0,0.0,10.0,2.0,11.0,1.0,16.0,6.0,6.0,1.0,1.0,3.0,72.0,28.0,1.0,1.0,0.0,2.0,1.0,4.0,595.0,230.0,527.0,170.0,89.0,74.0,2
Flamengo,Internacional,4.0,3.0,3.0,4.0,10.0,12.0,3.0,5.0,4.0,8.0,6.0,4.0,21.0,15.0,1.0,4.0,3.0,0.0,59.0,41.0,4.0,0.0,0.0,1.0,2.0,2.0,443.0,304.0,387.0,230.0,87.0,76.0,2
Flamengo,Internacional,7.0,5.0,4.0,3.0,11.0,9.0,0.0,1.0,7.0,8.0,4.0,1.0,9.0,15.0,7.0,2.0,1.0,0.0,63.0,37.0,3.0,2.0,1.0,0.0,1.0,7.0,559.0,331.0,487.0,253.0,87.0,76.0,0
Flamengo,Internacional,6.0,7.0,7.0,5.0,20.0,16.0,7.0,4.0,13.0,7.0,7.0,9.0,13.0,8.0,10.0,3.0,0.0,2.0,67.0,33.0,2.0,2.0,0.0,0.0,6.0,6.0,659.0,337.0,587.0,270.0,89.0,80.0,1
Flamengo,Palmeiras,4.0,8.0,4.0,4.0,15.0,14.0,7.0,2.0,6.0,9.0,9.0,5.0,0.0,0.0,1.0,5.0,1.0,4.0,64.0,36.0,0.0,1.0,0.0,0.0,5.0,3.0,559.0,304.0,486.0,242.0,87.0,80.0,0
Flamengo,Palmeiras,1.0,4.0,4.0,7.0,7.0,15.0,2.0,4.0,3.0,8.0,4.0,7.0,11.0,12.0,2.0,7.0,1.0,1.0,38.0,62.0,1.0,2.0,1.0,0.0,3.0,0.0,310.0,479.0,235.0,388.0,76.0,81.0,0
Flamengo,Palmeiras,6.0,5.0,6.0,0.0,18.0,7.0,6.0,2.0,10.0,5.0,8.0,2.0,16.0,23.0,10.0,2.0,4.0,0.0,61.0,39.0,2.0,9.0,0.0,0.0,3.0,5.0,451.0,286.0,373.0,205.0,83.0,72.0,1
