home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Fluminense,Internacional,2.0,6.0,3.0,7.0,8.0,14.0,3.0,1.0,4.0,6.0,4.0,8.0,0.0,0.0,3.0,3.0,0.0,1.0,43.0,57.0,3.0,4.0,1.0,0.0,5.0,1.0,369.0,486.0,299.0,418.0,81.0,86.0,1
Fluminense,Internacional,6.0,4.0,6.0,9.0,15.0,19.0,3.0,6.0,8.0,12.0,7.0,7.0,19.0,23.0,7.0,7.0,2.0,0.0,54.0,46.0,1.0,1.0,0.0,0.0,3.0,5.0,370.0,304.0,295.0,232.0,80.0,76.0,1
Fluminense,Internacional,6.0,7.0,5.0,5.0,19.0,13.0,8.0,1.0,8.0,9.0,11.0,4.0,8.0,17.0,7.0,7.0,0.0,0.0,59.0,41.0,3.0,3.0,0.0,0.0,4.0,6.0,545.0,376.0,464.0,286.0,85.0,76.0,0
Fluminense,Internacional,6.0,4.0,9.0,5.0,22.0,15.0,7.0,6.0,14.0,5.0,8.0,10.0,8.0,12.0,8.0,5.0,0.0,0.0,60.0,40.0,1.0,2.0,0.0,0.0,3.0,5.0,640.0,412.0,567.0,345.0,89.0,84.0,2
Fluminense,Internacional,5.0,3.0,2.0,4.0,10.0,9.0,3.0,2.0,8.0,5.0,2.0,4.0,13.0,24.0,1.0,4.0,1.0,1.0,43.0,57.0,2.0,2.0,0.0,0.0,1.0,3.0,339.0,434.0,259.0,339.0,76.0,78.0,2
Fluminense,Internacional,1.0,4.0,5.0,7.0,9.0,14.0,3.0,3.0,7.0,9.0,2.0,5.0,20.0,18.0,1.0,7.0,1.0,0.0,31.0,69.0,5.0,4.0,0.0,1.0,4.0,0.0,262.0,582.0,182.0,512.0,69.0,88.0,2
Fluminense,Internacional,2.0,4.0,4.0,4.0,13.0,12.0,7.0,4.0,6.0,6.0,7.0,6.0,15.0,12.0,5.0,4.0,4.0,2.0,57.0,43.0,5.0,3.0,0.0,0.0,3.0,2.0,503.0,381.0,430.0,294.0,85.0,77.0,0
Fluminense,Palmeiras,2.0,9.0,5.0,1.0,9.0,12.0,2.0,2.0,5.0,8.0,4.0,4.0,0.0,0.0,5.0,6.0,3.0,0.0,50.0,50.0,1.0,3.0,0.0,0.0,5.0,1.0,392.0,372.0,305.0,283.0,78.0,76.0,0
Fluminense,Palmeiras,3.0,5.0,4.0,5.0,8.0,16.0,1.0,6.0,4.0,5.0,4.0,11.0,17.0,20.0,5.0,5.0,2.0,2.0,58.0,42.0,7.0,5.0,0.0,0.0,2.0,3.0,428.0,304.0,350.0,219.0,82.0,72.0,0
Fluminense,Palmeiras,2.0,4.0,3.0,6.0,8.0,15.0,3.0,5.0,6.0,6.0,2.0,9.0,26.0,9.0,9.0,5.0,2.0,1.0,50.0,50.0,2.0,2.0,0.0,0.0,3.0,2.0,409.0,403.0,338.0,317.0,83.0,79.0,0
Fluminense,Palmeiras,3.0,3.0,6.0,7.0,10.0,13.0,1.0,3.0,5.0,5.0,5.0,8.0,18.0,16.0,2.0,3.0,1.0,1.0,38.0,62.0,2.0,2.0,0.0,1.0,3.0,2.0,301.0,491.0,211.0,405.0,70.0,82.0,2
Fluminense,Palmeiras,4.0,2.0,4.0,5.0,13.0,10.0,5.0,3.0,5.0,6.0,8.0,4.0,14.0,20.0,2.0,6.0,0.0,2.0,45.0,55.0,2.0,3.0,0.0,0.0,3.0,3.0,467.0,551.0,404.0,487.0,87.0,88.0,2
Fluminense,Palmeiras,1.0,1.0,6.0,5.0,10.0,9.0,3.0,3.0,3.0,2.0,7.0,7.0,20.0,31.0,3.0,3.0,3.0,0.0,51.0,49.0,3.0,3.0,0.0,0.0,0.0,0.0,430.0,399.0,357.0,328.0,83.0,82.0,1
Fluminense,Palmeiras,3.0,4.0,3.0,5.0,9.0,11.0,3.0,2.0,6.0,5.0,3.0,6.0,12.0,20.0,5.0,2.0,0.0,0.0,52.0,48.0,5.0,7.0,0.0,1.0,3.0,1.0,478.0,439.0,401.0,372.0,84.0,85.0,2
Fluminense,Palmeiras,3.0,2.0,10.0,3.0,17.0,8.0,4.0,3.0,10.0,5.0,7.0,3.0,16.0,16.0,3.0,3.0,0.0,2.0,61.0,39.0,3.0,2.0,0.0,0.0,1.0,2.0,543.0,349.0,494.0,287.0,91.0,82.0,1
Fluminense,Sport Recife,4.0,1.0,5.0,3.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,7.0,5.0,2.0,0.0,52.0,48.0,3.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1
