home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Fortaleza EC,Internacional,4.0,2.0,7.0,3.0,15.0,7.0,4.0,2.0,9.0,4.0,6.0,3.0,14.0,14.0,7.0,0.0,0.0,4.0,54.0,46.0,3.0,2.0,1.0,0.0,1.0,4.0,486.0,411.0,426.0,349.0,88.0,85.0,0
Fortaleza EC,Internacional,3.0,1.0,7.0,7.0,12.0,11.0,2.0,3.0,8.0,8.0,4.0,3.0,9.0,20.0,3.0,7.0,2.0,2.0,42.0,58.0,1.0,3.0,0.0,0.0,1.0,2.0,318.0,420.0,244.0,355.0,77.0,85.0,2
Fortaleza EC,Internacional,8.0,3.0,4.0,0.0,14.0,5.0,2.0,2.0,10.0,3.0,4.0,2.0,19.0,21.0,1.0,4.0,2.0,1.0,51.0,49.0,1.0,4.0,0.0,2.0,2.0,4.0,380.0,354.0,306.0,288.0,81.0,81.0,2
Fortaleza EC,Internacional,7.0,2.0,4.0,4.0,16.0,8.0,5.0,2.0,9.0,3.0,7.0,5.0,12.0,15.0,7.0,5.0,1.0,0.0,33.0,67.0,1.0,5.0,1.0,0.0,2.0,4.0,266.0,547.0,198.0,477.0,74.0,87.0,2
Fortaleza EC,Palmeiras,1.0,3.0,3.0,6.0,12.0,13.0,8.0,4.0,2.0,5.0,10.0,8.0,16.0,11.0,5.0,5.0,1.0,4.0,43.0,57.0,4.0,1.0,0.0,0.0,2.0,1.0,347.0,458.0,270.0,380.0,78.0,83.0,0
Fortaleza EC,Palmeiras,4.0,3.0,5.0,6.0,10.0,14.0,1.0,5.0,8.0,10.0,2.0,4.0,14.0,19.0,1.0,7.0,0.0,2.0,51.0,49.0,2.0,3.0,0.0,1.0,3.0,2.0,464.0,422.0,384.0,365.0,83.0,86.0,2
Fortaleza EC,Palmeiras,3.0,3.0,5.0,7.0,8.0,12.0,0.0,2.0,4.0,7.0,4.0,5.0,22.0,12.0,2.0,6.0,2.0,2.0,33.0,67.0,3.0,2.0,0.0,0.0,2.0,2.0,266.0,527.0,189.0,441.0,71.0,84.0,2
Fortaleza EC,Palmeiras,6.0,5.0,4.0,2.0,12.0,12.0,2.0,5.0,9.0,5.0,3.0,7.0,9.0,15.0,2.0,6.0,1.0,2.0,39.0,61.0,0.0,1.0,0.0,0.0,5.0,6.0,295.0,454.0,221.0,381.0,75.0,84.0,1
Fortaleza EC,Sport Recife,4.0,1.0,7.0,2.0,12.0,4.0,1.0,1.0,7.0,1.0,5.0,3.0,27.0,14.0,6.0,1.0,0.0,2.0,52.0,48.0,5.0,1.0,0.0,0.0,1.0,3.0,410.0,383.0,359.0,317.0,88.0,83.0,2
Fortaleza EC,Sport Recife,7.0,0.0,3.0,4.0,13.0,5.0,3.0,1.0,6.0,2.0,7.0,3.0,22.0,16.0,3.0,3.0,2.0,0.0,58.0,42.0,3.0,3.0,0.0,1.0,0.0,6.0,481.0,334.0,407.0,251.0,85.0,75.0,2
Fortaleza EC,Fluminense,8.0,4.0,4.0,3.0,18.0,10.0,6.0,3.0,9.0,8.0,9.0,2.0,13.0,15.0,5.0,5.0,2.0,4.0,46.0,54.0,1.0,2.0,0.0,0.0,3.0,8.0,413.0,471.0,356.0,409.0,86.0,87.0,0
Fortaleza EC,Fluminense,1.0,4.0,2.0,4.0,4.0,11.0,1.0,3.0,2.0,5.0,2.0,6.0,14.0,18.0,3.0,7.0,0.0,1.0,43.0,57.0,2.0,1.0,1.0,0.0,3.0,1.0,384.0,475.0,321.0,420.0,84.0,88.0,0
