home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Goias,Internacional,5.0,6.0,2.0,5.0,14.0,14.0,7.0,3.0,7.0,12.0,7.0,2.0,0.0,0.0,4.0,5.0,3.0,2.0,34.0,66.0,3.0,3.0,0.0,0.0,5.0,2.0,267.0,520.0,202.0,440.0,76.0,85.0,2
Goias,Internacional,4.0,5.0,1.0,3.0,7.0,11.0,2.0,3.0,3.0,7.0,4.0,4.0,9.0,14.0,5.0,5.0,0.0,3.0,26.0,74.0,2.0,2.0,1.0,0.0,5.0,2.0,203.0,602.0,141.0,537.0,69.0,89.0,2
Goias,Internacional,1.0,4.0,3.0,5.0,6.0,15.0,2.0,6.0,3.0,10.0,3.0,5.0,10.0,14.0,0.0,12.0,1.0,5.0,21.0,79.0,4.0,3.0,1.0,0.0,4.0,0.0,170.0,572.0,107.0,520.0,63.0,91.0,2
Goias,Internacional,2.0,8.0,2.0,3.0,6.0,16.0,2.0,5.0,4.0,9.0,2.0,7.0,11.0,14.0,8.0,2.0,4.0,0.0,53.0,47.0,4.0,3.0,0.0,0.0,6.0,1.0,426.0,408.0,360.0,327.0,85.0,80.0,0
Goias,Palmeiras,5.0,5.0,4.0,6.0,9.0,14.0,0.0,3.0,6.0,10.0,3.0,4.0,0.0,0.0,3.0,7.0,1.0,2.0,40.0,60.0,3.0,3.0,0.0,0.0,5.0,4.0,350.0,510.0,283.0,424.0,81.0,83.0,2
Goias,Palmeiras,2.0,9.0,4.0,4.0,9.0,18.0,3.0,5.0,1.0,13.0,8.0,5.0,11.0,21.0,3.0,7.0,1.0,2.0,34.0,66.0,5.0,2.0,0.0,1.0,7.0,1.0,272.0,518.0,204.0,430.0,75.0,83.0,0
Goias,Palmeiras,2.0,3.0,6.0,7.0,8.0,14.0,0.0,4.0,3.0,6.0,5.0,8.0,20.0,15.0,1.0,4.0,1.0,1.0,59.0,41.0,2.0,2.0,0.0,1.0,3.0,1.0,488.0,333.0,420.0,245.0,86.0,74.0,2
Goias,Palmeiras,6.0,6.0,2.0,11.0,9.0,22.0,1.0,5.0,7.0,17.0,2.0,5.0,16.0,7.0,2.0,6.0,0.0,2.0,24.0,76.0,4.0,0.0,0.0,0.0,5.0,5.0,195.0,605.0,122.0,510.0,63.0,84.0,1
Goias,Sport Recife,6.0,4.0,8.0,5.0,19.0,10.0,5.0,1.0,8.0,6.0,11.0,4.0,0.0,0.0,6.0,5.0,0.0,1.0,40.0,60.0,3.0,1.0,0.0,0.0,4.0,5.0,382.0,591.0,328.0,517.0,86.0,87.0,2
Goias,Sport Recife,3.0,4.0,6.0,6.0,10.0,16.0,1.0,6.0,8.0,8.0,2.0,8.0,22.0,18.0,4.0,5.0,0.0,4.0,38.0,62.0,4.0,1.0,0.0,0.0,4.0,2.0,315.0,501.0,219.0,392.0,70.0,78.0,2
