home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Gremio,Internacional,5.0,3.0,5.0,6.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,4.0,5.0,1.0,0.0,62.0,38.0,1.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Gremio,Internacional,1.0,2.0,6.0,3.0,12.0,8.0,5.0,3.0,4.0,3.0,8.0,5.0,12.0,25.0,5.0,4.0,0.0,1.0,68.0,32.0,0.0,2.0,1.0,1.0,2.0,1.0,517.0,229.0,405.0,138.0,78.0,60.0,1
Gremio,Internacional,1.0,1.0,8.0,3.0,11.0,5.0,2.0,1.0,6.0,2.0,5.0,3.0,13.0,24.0,11.0,1.0,0.0,0.0,77.0,23.0,3.0,4.0,0.0,0.0,1.0,1.0,721.0,212.0,644.0,138.0,89.0,65.0,1
Gremio,Internacional,9.0,0.0,6.0,4.0,21.0,5.0,6.0,1.0,13.0,3.0,8.0,2.0,16.0,16.0,5.0,3.0,1.0,0.0,58.0,42.0,2.0,2.0,0.0,1.0,0.0,7.0,521.0,359.0,455.0,292.0,87.0,81.0,2
Gremio,Internacional,5.0,2.0,4.0,5.0,14.0,8.0,5.0,1.0,6.0,5.0,8.0,3.0,15.0,16.0,5.0,5.0,1.0,1.0,46.0,54.0,2.0,1.0,1.0,1.0,1.0,4.0,388.0,453.0,301.0,359.0,78.0,79.0,1
Gremio,Internacional,2.0,8.0,7.0,2.0,11.0,16.0,2.0,6.0,4.0,9.0,7.0,7.0,12.0,19.0,5.0,7.0,2.0,0.0,50.0,50.0,1.0,2.0,0.0,0.0,8.0,2.0,405.0,405.0,295.0,311.0,73.0,77.0,1
Gremio,Palmeiras,3.0,3.0,4.0,4.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,1.0,7.0,5.0,0.0,57.0,43.0,4.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Gremio,Palmeiras,4.0,2.0,5.0,4.0,11.0,7.0,2.0,1.0,5.0,3.0,6.0,4.0,23.0,16.0,5.0,2.0,5.0,4.0,59.0,41.0,4.0,3.0,0.0,0.0,2.0,4.0,444.0,303.0,328.0,172.0,74.0,57.0,1
Gremio,Palmeiras,2.0,5.0,4.0,5.0,6.0,12.0,0.0,2.0,4.0,5.0,2.0,7.0,17.0,19.0,2.0,4.0,4.0,0.0,49.0,51.0,2.0,1.0,0.0,0.0,2.0,1.0,472.0,482.0,385.0,396.0,82.0,82.0,0
Gremio,Palmeiras,5.0,3.0,4.0,4.0,14.0,9.0,5.0,2.0,7.0,5.0,7.0,4.0,13.0,30.0,5.0,7.0,0.0,1.0,52.0,48.0,2.0,5.0,0.0,0.0,1.0,5.0,449.0,414.0,376.0,338.0,84.0,82.0,0
Gremio,Palmeiras,3.0,7.0,5.0,4.0,14.0,15.0,6.0,4.0,2.0,7.0,12.0,8.0,13.0,14.0,3.0,2.0,0.0,1.0,67.0,33.0,0.0,0.0,0.0,0.0,6.0,2.0,629.0,306.0,564.0,243.0,90.0,79.0,1
