home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Internacional,Palmeiras,2.0,4.0,5.0,2.0,8.0,7.0,1.0,1.0,4.0,3.0,4.0,4.0,0.0,0.0,3.0,3.0,2.0,0.0,46.0,54.0,5.0,4.0,1.0,1.0,4.0,1.0,367.0,426.0,259.0,323.0,71.0,76.0,2
Internacional,Palmeiras,2.0,3.0,5.0,5.0,8.0,9.0,1.0,1.0,3.0,6.0,5.0,3.0,17.0,13.0,9.0,1.0,0.0,1.0,58.0,42.0,4.0,2.0,0.0,0.0,2.0,2.0,502.0,381.0,393.0,292.0,78.0,77.0,0
Internacional,Palmeiras,4.0,3.0,5.0,14.0,14.0,20.0,5.0,3.0,4.0,11.0,10.0,9.0,14.0,24.0,5.0,4.0,1.0,0.0,56.0,44.0,2.0,3.0,0.0,0.0,3.0,4.0,495.0,387.0,404.0,281.0,82.0,73.0,1
Internacional,Palmeiras,6.0,5.0,8.0,4.0,18.0,12.0,4.0,3.0,7.0,8.0,11.0,4.0,28.0,17.0,3.0,3.0,0.0,1.0,53.0,47.0,3.0,2.0,0.0,0.0,4.0,5.0,456.0,402.0,392.0,331.0,86.0,82.0,1
Internacional,Palmeiras,4.0,0.0,3.0,10.0,12.0,13.0,5.0,3.0,9.0,4.0,3.0,9.0,13.0,23.0,4.0,8.0,1.0,1.0,41.0,59.0,4.0,2.0,0.0,0.0,0.0,2.0,329.0,439.0,247.0,354.0,75.0,81.0,2
Internacional,Palmeiras,5.0,6.0,5.0,5.0,16.0,14.0,6.0,3.0,10.0,12.0,6.0,2.0,14.0,13.0,7.0,3.0,0.0,1.0,66.0,34.0,3.0,0.0,0.0,1.0,4.0,4.0,531.0,265.0,457.0,182.0,86.0,69.0,0
Internacional,Palmeiras,8.0,2.0,5.0,5.0,15.0,11.0,2.0,4.0,9.0,8.0,6.0,3.0,13.0,17.0,6.0,5.0,1.0,2.0,48.0,52.0,2.0,3.0,0.0,0.0,2.0,5.0,287.0,304.0,222.0,250.0,77.0,82.0,2
Internacional,Sport Recife,10.0,3.0,7.0,3.0,21.0,9.0,4.0,3.0,13.0,3.0,8.0,6.0,0.0,0.0,8.0,4.0,3.0,1.0,50.0,50.0,2.0,2.0,0.0,1.0,2.0,8.0,376.0,382.0,297.0,281.0,79.0,74.0,2
Internacional,Sport Recife,5.0,1.0,3.0,4.0,11.0,10.0,3.0,5.0,8.0,4.0,4.0,6.0,14.0,13.0,7.0,5.0,3.0,1.0,51.0,49.0,3.0,1.0,0.0,0.0,1.0,5.0,430.0,426.0,349.0,323.0,81.0,76.0,2
Internacional,Sport Recife,3.0,3.0,11.0,5.0,18.0,11.0,4.0,3.0,10.0,4.0,8.0,7.0,14.0,14.0,14.0,3.0,2.0,2.0,55.0,45.0,3.0,3.0,0.0,0.0,3.0,3.0,457.0,396.0,342.0,292.0,75.0,74.0,1
