home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Joinville,Internacional,2.0,4.0,2.0,5.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,6.0,2.0,4.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Joinville,Internacional,2.0,4.0,2.0,5.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,6.0,2.0,4.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Joinville,Palmeiras,2.0,2.0,3.0,9.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,1.0,5.0,5.0,3.0,54.0,46.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Joinville,Palmeiras,2.0,2.0,3.0,9.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,1.0,5.0,5.0,3.0,54.0,46.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Joinville,Sport Recife,4.0,3.0,8.0,3.0,15.0,7.0,3.0,1.0,10.0,5.0,5.0,2.0,0.0,0.0,5.0,3.0,3.0,6.0,33.0,67.0,4.0,3.0,0.0,0.0,2.0,3.0,262.0,555.0,183.0,465.0,70.0,84.0,1
Joinville,Sport Recife,4.0,3.0,8.0,3.0,15.0,7.0,3.0,1.0,10.0,5.0,5.0,2.0,0.0,0.0,5.0,3.0,3.0,6.0,33.0,67.0,4.0,3.0,0.0,0.0,2.0,3.0,262.0,555.0,183.0,465.0,70.0,84.0,1
Joinville,Fluminense,5.0,10.0,4.0,4.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.0,3.0,4.0,3.0,4.0,52.0,48.0,3.0,2.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Joinville,Fluminense,5.0,10.0,4.0,4.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.0,3.0,4.0,3.0,4.0,52.0,48.0,3.0,2.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Joinville,Sao Paulo,2.0,2.0,12.0,2.0,21.0,8.0,7.0,4.0,12.0,4.0,9.0,4.0,0.0,0.0,8.0,8.0,0.0,5.0,47.0,53.0,4.0,5.0,0.0,0.0,2.0,2.0,359.0,407.0,257.0,304.0,72.0,75.0,1
Joinville,Sao Paulo,2.0,2.0,12.0,2.0,21.0,8.0,7.0,4.0,12.0,4.0,9.0,4.0,0.0,0.0,8.0,8.0,0.0,5.0,47.0,53.0,4.0,5.0,0.0,0.0,2.0,2.0,359.0,407.0,257.0,304.0,72.0,75.0,1
