home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Juventude,Internacional,3.0,3.0,6.0,5.0,14.0,14.0,5.0,6.0,7.0,11.0,7.0,3.0,19.0,15.0,2.0,3.0,1.0,0.0,47.0,53.0,2.0,4.0,0.0,0.0,1.0,2.0,413.0,481.0,356.0,413.0,86.0,86.0,2
Juventude,Internacional,5.0,3.0,6.0,4.0,11.0,9.0,0.0,2.0,6.0,7.0,5.0,2.0,22.0,13.0,6.0,3.0,3.0,1.0,57.0,43.0,5.0,4.0,0.0,0.0,2.0,4.0,447.0,351.0,369.0,273.0,83.0,78.0,1
Juventude,Palmeiras,2.0,5.0,6.0,7.0,11.0,13.0,3.0,1.0,3.0,6.0,8.0,7.0,11.0,24.0,7.0,4.0,0.0,1.0,43.0,57.0,0.0,3.0,0.0,0.0,3.0,2.0,380.0,524.0,325.0,461.0,86.0,88.0,0
Juventude,Palmeiras,3.0,8.0,7.0,5.0,13.0,20.0,3.0,7.0,5.0,10.0,8.0,10.0,20.0,6.0,7.0,7.0,1.0,2.0,46.0,54.0,3.0,0.0,0.0,0.0,5.0,3.0,381.0,465.0,301.0,388.0,79.0,83.0,0
Juventude,Sport Recife,4.0,2.0,2.0,6.0,8.0,13.0,2.0,5.0,3.0,7.0,5.0,6.0,16.0,9.0,3.0,5.0,2.0,1.0,50.0,50.0,4.0,0.0,0.0,0.0,2.0,3.0,493.0,480.0,414.0,408.0,84.0,85.0,2
Juventude,Sport Recife,4.0,2.0,2.0,6.0,8.0,13.0,2.0,5.0,3.0,7.0,5.0,6.0,16.0,9.0,3.0,5.0,2.0,1.0,50.0,50.0,4.0,0.0,0.0,0.0,2.0,3.0,493.0,480.0,414.0,408.0,84.0,85.0,2
Juventude,Fluminense,7.0,1.0,4.0,4.0,15.0,7.0,4.0,2.0,12.0,4.0,3.0,3.0,20.0,19.0,2.0,5.0,1.0,1.0,33.0,67.0,2.0,1.0,0.0,0.0,1.0,5.0,302.0,615.0,235.0,529.0,78.0,86.0,2
Juventude,Fluminense,3.0,2.0,3.0,4.0,11.0,6.0,5.0,0.0,5.0,3.0,6.0,3.0,21.0,10.0,5.0,7.0,5.0,1.0,49.0,51.0,3.0,4.0,0.0,1.0,2.0,3.0,251.0,259.0,102.0,102.0,41.0,39.0,2
Juventude,Sao Paulo,2.0,4.0,6.0,2.0,9.0,7.0,1.0,1.0,3.0,6.0,6.0,1.0,15.0,21.0,3.0,8.0,0.0,3.0,39.0,61.0,2.0,5.0,0.0,0.0,3.0,1.0,297.0,460.0,223.0,381.0,75.0,83.0,1
Juventude,Sao Paulo,3.0,5.0,8.0,4.0,13.0,13.0,2.0,4.0,7.0,6.0,6.0,7.0,6.0,10.0,5.0,6.0,2.0,1.0,41.0,59.0,2.0,2.0,0.0,0.0,4.0,2.0,405.0,597.0,360.0,538.0,89.0,90.0,0
Juventude,Flamengo,4.0,2.0,2.0,8.0,8.0,13.0,2.0,3.0,2.0,9.0,6.0,4.0,17.0,12.0,5.0,10.0,4.0,1.0,35.0,65.0,2.0,1.0,0.0,0.0,2.0,3.0,285.0,510.0,144.0,374.0,51.0,73.0,2
Juventude,Flamengo,4.0,3.0,6.0,6.0,11.0,10.0,1.0,1.0,4.0,10.0,7.0,0.0,17.0,14.0,2.0,4.0,0.0,0.0,37.0,63.0,6.0,3.0,0.0,0.0,1.0,2.0,292.0,491.0,222.0,426.0,76.0,87.0,1
Juventude,Santos,4.0,3.0,0.0,9.0,6.0,19.0,2.0,7.0,4.0,13.0,2.0,6.0,15.0,16.0,2.0,5.0,2.0,1.0,38.0,62.0,3.0,0.0,0.0,0.0,3.0,1.0,321.0,534.0,248.0,464.0,77.0,87.0,2
Juventude,Santos,1.0,9.0,4.0,7.0,10.0,18.0,5.0,2.0,5.0,14.0,5.0,4.0,19.0,14.0,4.0,9.0,0.0,2.0,34.0,66.0,1.0,2.0,1.0,0.0,7.0,0.0,325.0,630.0,248.0,555.0,76.0,88.0,0
Juventude,Gremio,5.0,3.0,6.0,6.0,11.0,13.0,0.0,4.0,5.0,2.0,6.0,11.0,15.0,12.0,3.0,6.0,0.0,1.0,30.0,70.0,3.0,0.0,0.0,0.0,3.0,3.0,297.0,688.0,223.0,624.0,75.0,91.0,2
Juventude,Gremio,5.0,3.0,6.0,6.0,11.0,13.0,0.0,4.0,5.0,2.0,6.0,11.0,15.0,12.0,3.0,6.0,0.0,1.0,30.0,70.0,3.0,0.0,0.0,0.0,3.0,3.0,297.0,688.0,223.0,624.0,75.0,91.0,2
Juventude,Corinthians,6.0,1.0,7.0,0.0,17.0,1.0,4.0,0.0,7.0,1.0,10.0,0.0,10.0,22.0,11.0,4.0,0.0,0.0,45.0,55.0,0.0,2.0,0.0,1.0,1.0,5.0,408.0,513.0,318.0,439.0,78.0,86.0,2
Juventude,Corinthians,2.0,6.0,8.0,5.0,17.0,12.0,7.0,1.0,11.0,7.0,6.0,5.0,9.0,7.0,2.0,5.0,1.0,1.0,34.0,66.0,1.0,2.0,0.0,0.0,4.0,0.0,324.0,650.0,254.0,569.0,78.0,88.0,1
Juventude,Chapecoense-sc,2.0,2.0,5.0,4.0,13.0,7.0,6.0,1.0,3.0,3.0,10.0,4.0,16.0,15.0,3.0,1.0,1.0,1.0,33.0,67.0,5.0,1.0,0.0,0.0,3.0,1.0,266.0,537.0,196.0,465.0,74.0,87.0,2
Juventude,Chapecoense-sc,2.0,2.0,5.0,4.0,13.0,7.0,6.0,1.0,3.0,3.0,10.0,4.0,16.0,15.0,3.0,1.0,1.0,1.0,33.0,67.0,5.0,1.0,0.0,0.0,3.0,1.0,266.0,537.0,196.0,465.0,74.0,87.0,2
Juventude,Atletico Paranaense,1.0,5.0,8.0,4.0,14.0,11.0,5.0,2.0,9.0,6.0,5.0,5.0,14.0,27.0,5.0,1.0,1.0,3.0,58.0,42.0,0.0,2.0,0.0,0.0,2.0,1.0,523.0,368.0,462.0,309.0,88.0,84.0,0
Juventude,Atletico Paranaense,4.0,6.0,8.0,0.0,18.0,7.0,6.0,1.0,9.0,3.0,9.0,4.0,9.0,10.0,11.0,5.0,0.0,1.0,55.0,45.0,2.0,4.0,0.0,0.0,3.0,3.0,384.0,338.0,290.0,235.0,76.0,70.0,0
Juventude,Avai,7.0,2.0,6.0,6.0,20.0,9.0,7.0,1.0,12.0,6.0,8.0,3.0,17.0,15.0,7.0,3.0,1.0,4.0,40.0,60.0,6.0,6.0,0.0,0.0,1.0,6.0,282.0,463.0,226.0,402.0,80.0,87.0,1
Juventude,Avai,7.0,2.0,6.0,6.0,20.0,9.0,7.0,1.0,12.0,6.0,8.0,3.0,17.0,15.0,7.0,3.0,1.0,4.0,40.0,60.0,6.0,6.0,0.0,0.0,1.0,6.0,282.0,463.0,226.0,402.0,80.0,87.0,1
Juventude,Coritiba,2.0,7.0,5.0,12.0,10.0,20.0,3.0,1.0,5.0,13.0,5.0,7.0,11.0,18.0,4.0,4.0,0.0,3.0,39.0,61.0,3.0,4.0,0.0,0.0,5.0,2.0,278.0,438.0,184.0,358.0,66.0,82.0,0
Juventude,Coritiba,2.0,7.0,5.0,12.0,10.0,20.0,3.0,1.0,5.0,13.0,5.0,7.0,11.0,18.0,4.0,4.0,0.0,3.0,39.0,61.0,3.0,4.0,0.0,0.0,5.0,2.0,278.0,438.0,184.0,358.0,66.0,82.0,0
Juventude,Goias,1.0,1.0,12.0,11.0,24.0,16.0,11.0,4.0,16.0,6.0,8.0,10.0,16.0,16.0,7.0,4.0,1.0,2.0,61.0,39.0,2.0,3.0,0.0,0.0,1.0,3.0,471.0,306.0,393.0,232.0,83.0,76.0,1
Juventude,Goias,1.0,1.0,12.0,11.0,24.0,16.0,11.0,4.0,16.0,6.0,8.0,10.0,16.0,16.0,7.0,4.0,1.0,2.0,61.0,39.0,2.0,3.0,0.0,0.0,1.0,3.0,471.0,306.0,393.0,232.0,83.0,76.0,1
Juventude,Atletico-MG,1.0,4.0,1.0,7.0,6.0,20.0,4.0,9.0,3.0,8.0,3.0,12.0,17.0,14.0,4.0,5.0,1.0,2.0,35.0,65.0,1.0,3.0,0.0,0.0,2.0,0.0,310.0,586.0,234.0,518.0,75.0,88.0,0
