home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Palmeiras,Internacional,6.0,1.0,3.0,2.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,9.0,2.0,2.0,1.0,58.0,42.0,1.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Palmeiras,Internacional,3.0,4.0,3.0,6.0,7.0,12.0,1.0,2.0,4.0,2.0,3.0,10.0,10.0,19.0,4.0,2.0,2.0,1.0,49.0,51.0,0.0,0.0,0.0,0.0,4.0,2.0,333.0,347.0,202.0,215.0,61.0,62.0,2
Palmeiras,Internacional,2.0,2.0,8.0,4.0,13.0,7.0,3.0,1.0,7.0,4.0,6.0,3.0,14.0,15.0,8.0,9.0,0.0,2.0,44.0,56.0,2.0,2.0,0.0,0.0,3.0,1.0,390.0,483.0,309.0,394.0,79.0,82.0,2
Palmeiras,Internacional,5.0,2.0,5.0,5.0,13.0,10.0,3.0,3.0,9.0,4.0,4.0,6.0,15.0,18.0,4.0,5.0,0.0,0.0,34.0,66.0,2.0,5.0,0.0,0.0,2.0,3.0,254.0,478.0,187.0,398.0,74.0,83.0,2
Palmeiras,Internacional,1.0,2.0,5.0,2.0,11.0,8.0,5.0,4.0,7.0,4.0,4.0,4.0,21.0,23.0,5.0,4.0,1.0,0.0,48.0,52.0,3.0,5.0,0.0,0.0,1.0,0.0,372.0,403.0,273.0,304.0,73.0,75.0,1
Palmeiras,Internacional,3.0,4.0,11.0,5.0,16.0,14.0,2.0,5.0,10.0,6.0,6.0,8.0,12.0,21.0,5.0,6.0,5.0,0.0,52.0,48.0,3.0,4.0,0.0,1.0,4.0,2.0,446.0,420.0,396.0,352.0,89.0,84.0,2
Palmeiras,Internacional,9.0,5.0,7.0,2.0,18.0,11.0,2.0,4.0,10.0,3.0,8.0,8.0,13.0,15.0,12.0,5.0,4.0,1.0,52.0,48.0,0.0,1.0,0.0,0.0,4.0,7.0,391.0,374.0,327.0,291.0,84.0,78.0,2
Palmeiras,Sport Recife,5.0,4.0,7.0,5.0,14.0,9.0,2.0,0.0,8.0,3.0,6.0,6.0,0.0,0.0,11.0,1.0,1.0,1.0,52.0,48.0,2.0,1.0,0.0,0.0,2.0,5.0,452.0,433.0,357.0,338.0,79.0,78.0,0
Palmeiras,Sport Recife,4.0,4.0,5.0,6.0,12.0,15.0,3.0,5.0,8.0,8.0,4.0,7.0,26.0,23.0,5.0,8.0,0.0,3.0,44.0,56.0,3.0,2.0,0.0,0.0,3.0,2.0,284.0,345.0,184.0,241.0,65.0,70.0,2
Palmeiras,Sport Recife,5.0,7.0,7.0,5.0,16.0,15.0,4.0,3.0,12.0,9.0,4.0,6.0,7.0,15.0,5.0,8.0,0.0,8.0,56.0,44.0,0.0,2.0,0.0,0.0,6.0,0.0,487.0,360.0,400.0,281.0,82.0,78.0,2
Palmeiras,Sport Recife,5.0,6.0,8.0,6.0,16.0,13.0,3.0,1.0,13.0,7.0,3.0,6.0,17.0,10.0,9.0,3.0,4.0,0.0,61.0,39.0,3.0,4.0,0.0,1.0,3.0,3.0,501.0,324.0,398.0,227.0,79.0,70.0,0
Palmeiras,Sport Recife,7.0,4.0,7.0,3.0,20.0,9.0,6.0,2.0,9.0,8.0,11.0,1.0,15.0,12.0,6.0,2.0,3.0,1.0,63.0,37.0,3.0,3.0,1.0,1.0,2.0,5.0,567.0,327.0,495.0,251.0,87.0,77.0,1
Palmeiras,Sport Recife,16.0,1.0,16.0,2.0,37.0,6.0,5.0,3.0,25.0,1.0,12.0,5.0,10.0,20.0,23.0,0.0,1.0,0.0,65.0,35.0,1.0,3.0,0.0,0.0,0.0,13.0,474.0,288.0,402.0,200.0,85.0,69.0,2
Palmeiras,Fluminense,10.0,3.0,9.0,2.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,7.0,2.0,1.0,1.0,61.0,39.0,0.0,7.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Palmeiras,Fluminense,7.0,3.0,4.0,7.0,15.0,14.0,4.0,4.0,7.0,10.0,8.0,4.0,20.0,12.0,8.0,4.0,1.0,3.0,52.0,48.0,1.0,0.0,0.0,0.0,3.0,4.0,390.0,360.0,293.0,262.0,75.0,73.0,2
Palmeiras,Fluminense,6.0,3.0,7.0,5.0,16.0,10.0,3.0,2.0,9.0,5.0,7.0,5.0,24.0,19.0,6.0,3.0,3.0,1.0,55.0,45.0,4.0,2.0,0.0,0.0,2.0,3.0,419.0,322.0,328.0,251.0,78.0,78.0,2
Palmeiras,Fluminense,7.0,2.0,4.0,3.0,18.0,5.0,7.0,0.0,10.0,3.0,8.0,2.0,20.0,24.0,6.0,4.0,2.0,3.0,47.0,53.0,6.0,6.0,0.0,1.0,2.0,4.0,318.0,354.0,243.0,285.0,76.0,81.0,2
Palmeiras,Fluminense,8.0,1.0,4.0,6.0,15.0,12.0,3.0,5.0,10.0,5.0,5.0,7.0,12.0,11.0,3.0,7.0,0.0,2.0,46.0,54.0,0.0,2.0,0.0,0.0,1.0,5.0,406.0,463.0,341.0,406.0,84.0,88.0,2
Palmeiras,Fluminense,5.0,5.0,2.0,8.0,9.0,15.0,2.0,2.0,6.0,6.0,3.0,9.0,15.0,8.0,3.0,5.0,3.0,3.0,50.0,50.0,2.0,2.0,0.0,0.0,5.0,3.0,448.0,441.0,375.0,374.0,84.0,85.0,2
Palmeiras,Fluminense,1.0,3.0,5.0,3.0,10.0,9.0,4.0,3.0,4.0,6.0,6.0,3.0,13.0,9.0,7.0,5.0,2.0,1.0,50.0,50.0,1.0,2.0,0.0,0.0,2.0,1.0,486.0,475.0,414.0,430.0,85.0,91.0,2
Palmeiras,Fluminense,5.0,2.0,6.0,3.0,19.0,8.0,8.0,3.0,10.0,4.0,9.0,4.0,10.0,13.0,6.0,3.0,3.0,0.0,48.0,52.0,1.0,2.0,0.0,0.0,1.0,4.0,357.0,404.0,304.0,336.0,85.0,83.0,1
Palmeiras,Sao Paulo,9.0,3.0,0.0,4.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,7.0,2.0,2.0,2.0,30.0,70.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Palmeiras,Sao Paulo,7.0,3.0,5.0,3.0,15.0,8.0,3.0,2.0,10.0,4.0,5.0,4.0,20.0,19.0,6.0,2.0,1.0,3.0,50.0,50.0,3.0,3.0,0.0,0.0,2.0,5.0,335.0,328.0,234.0,227.0,70.0,69.0,2
Palmeiras,Sao Paulo,8.0,3.0,11.0,6.0,25.0,10.0,6.0,1.0,7.0,5.0,18.0,5.0,12.0,8.0,8.0,2.0,2.0,3.0,57.0,43.0,1.0,2.0,0.0,0.0,1.0,4.0,484.0,364.0,409.0,283.0,85.0,78.0,2
