home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Parana,Internacional,4.0,1.0,10.0,5.0,16.0,8.0,2.0,2.0,6.0,5.0,10.0,3.0,14.0,15.0,5.0,6.0,2.0,3.0,42.0,58.0,1.0,2.0,1.0,0.0,0.0,3.0,339.0,458.0,254.0,358.0,75.0,78.0,1
Parana,Internacional,4.0,1.0,10.0,5.0,16.0,8.0,2.0,2.0,6.0,5.0,10.0,3.0,14.0,15.0,5.0,6.0,2.0,3.0,42.0,58.0,1.0,2.0,1.0,0.0,0.0,3.0,339.0,458.0,254.0,358.0,75.0,78.0,1
Parana,Palmeiras,3.0,7.0,4.0,6.0,9.0,22.0,2.0,9.0,3.0,18.0,6.0,4.0,22.0,8.0,4.0,11.0,0.0,5.0,34.0,66.0,4.0,2.0,0.0,0.0,6.0,2.0,266.0,493.0,165.0,395.0,62.0,80.0,1
Parana,Palmeiras,3.0,7.0,4.0,6.0,9.0,22.0,2.0,9.0,3.0,18.0,6.0,4.0,22.0,8.0,4.0,11.0,0.0,5.0,34.0,66.0,4.0,2.0,0.0,0.0,6.0,2.0,266.0,493.0,165.0,395.0,62.0,80.0,1
Parana,Sport Recife,12.0,3.0,8.0,5.0,28.0,10.0,8.0,2.0,13.0,4.0,15.0,6.0,14.0,15.0,8.0,1.0,2.0,3.0,69.0,31.0,1.0,1.0,0.0,0.0,1.0,11.0,575.0,261.0,492.0,166.0,86.0,64.0,0
Parana,Sport Recife,12.0,3.0,8.0,5.0,28.0,10.0,8.0,2.0,13.0,4.0,15.0,6.0,14.0,15.0,8.0,1.0,2.0,3.0,69.0,31.0,1.0,1.0,0.0,0.0,1.0,11.0,575.0,261.0,492.0,166.0,86.0,64.0,0
Parana,Fluminense,5.0,4.0,4.0,5.0,12.0,13.0,3.0,4.0,6.0,5.0,6.0,8.0,14.0,16.0,4.0,7.0,2.0,3.0,39.0,61.0,6.0,3.0,0.0,0.0,3.0,3.0,323.0,487.0,244.0,405.0,76.0,83.0,2
Parana,Fluminense,5.0,4.0,4.0,5.0,12.0,13.0,3.0,4.0,6.0,5.0,6.0,8.0,14.0,16.0,4.0,7.0,2.0,3.0,39.0,61.0,6.0,3.0,0.0,0.0,3.0,3.0,323.0,487.0,244.0,405.0,76.0,83.0,2
Parana,Sao Paulo,2.0,4.0,9.0,7.0,16.0,14.0,5.0,3.0,5.0,8.0,11.0,6.0,14.0,12.0,4.0,9.0,2.0,3.0,45.0,55.0,3.0,1.0,0.0,0.0,3.0,2.0,349.0,413.0,255.0,318.0,73.0,77.0,1
Parana,Sao Paulo,2.0,4.0,9.0,7.0,16.0,14.0,5.0,3.0,5.0,8.0,11.0,6.0,14.0,12.0,4.0,9.0,2.0,3.0,45.0,55.0,3.0,1.0,0.0,0.0,3.0,2.0,349.0,413.0,255.0,318.0,73.0,77.0,1
Parana,Flamengo,2.0,6.0,2.0,4.0,7.0,11.0,3.0,1.0,1.0,8.0,6.0,3.0,17.0,13.0,4.0,1.0,1.0,2.0,31.0,69.0,1.0,0.0,1.0,0.0,2.0,2.0,317.0,699.0,238.0,622.0,75.0,89.0,0
