home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Ponte Preta,Internacional,11.0,8.0,6.0,2.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,13.0,8.0,1.0,4.0,60.0,40.0,2.0,2.0,0.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Ponte Preta,Internacional,4.0,2.0,7.0,3.0,15.0,6.0,4.0,1.0,8.0,2.0,7.0,4.0,20.0,13.0,10.0,2.0,3.0,1.0,50.0,50.0,3.0,4.0,0.0,1.0,0.0,2.0,339.0,347.0,258.0,249.0,76.0,72.0,1
Ponte Preta,Palmeiras,1.0,3.0,11.0,5.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.0,1.0,5.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ponte Preta,Palmeiras,4.0,5.0,3.0,4.0,11.0,11.0,4.0,2.0,5.0,7.0,6.0,4.0,21.0,16.0,4.0,6.0,3.0,3.0,34.0,66.0,3.0,4.0,0.0,0.0,4.0,2.0,268.0,497.0,176.0,404.0,66.0,81.0,2
Ponte Preta,Palmeiras,2.0,2.0,4.0,4.0,9.0,6.0,3.0,0.0,6.0,4.0,3.0,2.0,21.0,28.0,2.0,4.0,3.0,0.0,55.0,45.0,6.0,3.0,2.0,1.0,0.0,1.0,440.0,365.0,336.0,248.0,76.0,68.0,0
Ponte Preta,Sport Recife,1.0,2.0,8.0,1.0,14.0,4.0,5.0,1.0,8.0,2.0,6.0,2.0,0.0,0.0,9.0,5.0,4.0,2.0,48.0,52.0,4.0,2.0,0.0,0.0,0.0,1.0,358.0,402.0,296.0,319.0,83.0,79.0,0
Ponte Preta,Sport Recife,6.0,2.0,3.0,3.0,11.0,9.0,2.0,4.0,7.0,3.0,4.0,6.0,17.0,12.0,4.0,4.0,5.0,0.0,38.0,62.0,2.0,2.0,0.0,0.0,1.0,4.0,268.0,436.0,179.0,327.0,67.0,75.0,2
Ponte Preta,Sport Recife,6.0,0.0,5.0,2.0,11.0,4.0,0.0,2.0,9.0,3.0,2.0,1.0,13.0,17.0,4.0,2.0,2.0,1.0,50.0,50.0,0.0,2.0,0.0,0.0,0.0,2.0,456.0,458.0,373.0,368.0,82.0,80.0,2
Ponte Preta,Fluminense,4.0,2.0,3.0,4.0,9.0,10.0,2.0,4.0,7.0,7.0,3.0,3.0,0.0,0.0,5.0,7.0,2.0,1.0,40.0,60.0,3.0,4.0,0.0,0.0,1.0,2.0,348.0,498.0,260.0,394.0,75.0,79.0,2
Ponte Preta,Fluminense,3.0,3.0,7.0,2.0,12.0,8.0,2.0,3.0,7.0,8.0,5.0,0.0,20.0,18.0,4.0,6.0,0.0,1.0,34.0,66.0,3.0,4.0,0.0,1.0,3.0,2.0,301.0,565.0,217.0,470.0,72.0,83.0,2
