home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
RB Bragantino,Internacional,2.0,5.0,3.0,2.0,13.0,8.0,8.0,1.0,6.0,5.0,7.0,3.0,18.0,22.0,7.0,2.0,2.0,1.0,47.0,53.0,3.0,3.0,1.0,0.0,3.0,2.0,404.0,460.0,317.0,386.0,78.0,84.0,0
RB Bragantino,Internacional,4.0,1.0,14.0,1.0,23.0,4.0,5.0,2.0,13.0,1.0,10.0,3.0,22.0,25.0,4.0,2.0,3.0,0.0,44.0,56.0,3.0,5.0,0.0,0.0,1.0,3.0,369.0,475.0,295.0,375.0,80.0,79.0,2
RB Bragantino,Internacional,2.0,5.0,3.0,3.0,8.0,9.0,3.0,1.0,6.0,7.0,2.0,2.0,20.0,12.0,7.0,3.0,2.0,1.0,49.0,51.0,3.0,2.0,0.0,0.0,3.0,2.0,434.0,479.0,358.0,397.0,82.0,83.0,0
RB Bragantino,Palmeiras,4.0,4.0,8.0,7.0,20.0,14.0,8.0,3.0,6.0,9.0,14.0,5.0,23.0,12.0,5.0,3.0,1.0,2.0,38.0,62.0,1.0,3.0,1.0,0.0,2.0,3.0,350.0,580.0,276.0,498.0,79.0,86.0,0
RB Bragantino,Palmeiras,6.0,6.0,4.0,10.0,12.0,18.0,2.0,2.0,7.0,9.0,5.0,9.0,13.0,13.0,5.0,10.0,1.0,1.0,48.0,52.0,3.0,3.0,0.0,0.0,5.0,3.0,427.0,444.0,350.0,359.0,82.0,81.0,2
RB Bragantino,Palmeiras,2.0,3.0,7.0,6.0,11.0,11.0,2.0,2.0,4.0,5.0,7.0,6.0,14.0,12.0,2.0,11.0,2.0,3.0,41.0,59.0,4.0,4.0,0.0,0.0,2.0,0.0,321.0,435.0,232.0,335.0,72.0,77.0,1
RB Bragantino,Sport Recife,4.0,1.0,11.0,1.0,18.0,3.0,3.0,1.0,11.0,1.0,7.0,2.0,13.0,13.0,8.0,6.0,1.0,0.0,50.0,50.0,2.0,2.0,0.0,0.0,1.0,2.0,449.0,464.0,369.0,363.0,82.0,78.0,2
RB Bragantino,Sport Recife,3.0,4.0,6.0,8.0,16.0,18.0,7.0,6.0,7.0,12.0,9.0,6.0,16.0,14.0,8.0,7.0,0.0,0.0,45.0,55.0,3.0,6.0,0.0,0.0,4.0,1.0,380.0,464.0,314.0,391.0,83.0,84.0,2
RB Bragantino,Fluminense,3.0,4.0,6.0,3.0,13.0,9.0,4.0,2.0,7.0,3.0,6.0,6.0,19.0,14.0,6.0,4.0,2.0,0.0,52.0,48.0,5.0,5.0,0.0,0.0,3.0,1.0,438.0,402.0,359.0,322.0,82.0,80.0,2
RB Bragantino,Fluminense,5.0,4.0,6.0,7.0,16.0,15.0,5.0,4.0,6.0,9.0,10.0,6.0,11.0,8.0,10.0,10.0,0.0,2.0,47.0,53.0,3.0,1.0,0.0,0.0,2.0,3.0,390.0,437.0,305.0,340.0,78.0,78.0,1
