home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Santa Cruz,Internacional,3.0,2.0,1.0,7.0,8.0,11.0,4.0,2.0,4.0,9.0,4.0,2.0,21.0,19.0,4.0,7.0,1.0,1.0,48.0,52.0,0.0,2.0,0.0,0.0,2.0,2.0,339.0,360.0,243.0,248.0,72.0,69.0,2
Santa Cruz,Internacional,3.0,2.0,1.0,7.0,8.0,11.0,4.0,2.0,4.0,9.0,4.0,2.0,21.0,19.0,4.0,7.0,1.0,1.0,48.0,52.0,0.0,2.0,0.0,0.0,2.0,2.0,339.0,360.0,243.0,248.0,72.0,69.0,2
Santa Cruz,Palmeiras,5.0,8.0,7.0,3.0,17.0,14.0,5.0,3.0,8.0,8.0,9.0,6.0,20.0,12.0,9.0,6.0,2.0,1.0,47.0,53.0,6.0,3.0,0.0,0.0,5.0,3.0,378.0,426.0,303.0,338.0,80.0,79.0,0
Santa Cruz,Palmeiras,5.0,8.0,7.0,3.0,17.0,14.0,5.0,3.0,8.0,8.0,9.0,6.0,20.0,12.0,9.0,6.0,2.0,1.0,47.0,53.0,6.0,3.0,0.0,0.0,5.0,3.0,378.0,426.0,303.0,338.0,80.0,79.0,0
Santa Cruz,Sport Recife,2.0,8.0,2.0,7.0,8.0,17.0,4.0,2.0,3.0,11.0,5.0,6.0,25.0,15.0,6.0,2.0,1.0,2.0,51.0,49.0,7.0,2.0,1.0,0.0,7.0,2.0,385.0,368.0,311.0,285.0,81.0,77.0,0
Santa Cruz,Sport Recife,2.0,8.0,2.0,7.0,8.0,17.0,4.0,2.0,3.0,11.0,5.0,6.0,25.0,15.0,6.0,2.0,1.0,2.0,51.0,49.0,7.0,2.0,1.0,0.0,7.0,2.0,385.0,368.0,311.0,285.0,81.0,77.0,0
Santa Cruz,Fluminense,2.0,4.0,10.0,2.0,18.0,6.0,6.0,0.0,5.0,2.0,13.0,4.0,16.0,16.0,8.0,4.0,2.0,1.0,58.0,42.0,0.0,2.0,0.0,0.0,3.0,2.0,484.0,341.0,414.0,251.0,86.0,74.0,0
Santa Cruz,Fluminense,2.0,4.0,10.0,2.0,18.0,6.0,6.0,0.0,5.0,2.0,13.0,4.0,16.0,16.0,8.0,4.0,2.0,1.0,58.0,42.0,0.0,2.0,0.0,0.0,3.0,2.0,484.0,341.0,414.0,251.0,86.0,74.0,0
Santa Cruz,Sao Paulo,2.0,6.0,4.0,4.0,13.0,12.0,7.0,2.0,5.0,11.0,8.0,1.0,15.0,24.0,6.0,7.0,2.0,0.0,48.0,52.0,1.0,3.0,0.0,0.0,3.0,1.0,386.0,419.0,299.0,328.0,77.0,78.0,0
Santa Cruz,Sao Paulo,2.0,6.0,4.0,4.0,13.0,12.0,7.0,2.0,5.0,11.0,8.0,1.0,15.0,24.0,6.0,7.0,2.0,0.0,48.0,52.0,1.0,3.0,0.0,0.0,3.0,1.0,386.0,419.0,299.0,328.0,77.0,78.0,0
Santa Cruz,Flamengo,4.0,1.0,3.0,7.0,14.0,9.0,7.0,1.0,5.0,3.0,9.0,6.0,13.0,12.0,7.0,3.0,2.0,2.0,48.0,52.0,1.0,0.0,0.0,0.0,0.0,4.0,427.0,483.0,334.0,392.0,78.0,81.0,0
Santa Cruz,Flamengo,4.0,1.0,3.0,7.0,14.0,9.0,7.0,1.0,5.0,3.0,9.0,6.0,13.0,12.0,7.0,3.0,2.0,2.0,48.0,52.0,1.0,0.0,0.0,0.0,0.0,4.0,427.0,483.0,334.0,392.0,78.0,81.0,0
Santa Cruz,Santos,4.0,6.0,7.0,5.0,16.0,12.0,5.0,1.0,5.0,6.0,11.0,6.0,19.0,11.0,6.0,3.0,0.0,0.0,48.0,52.0,1.0,2.0,0.0,0.0,4.0,4.0,451.0,501.0,379.0,425.0,84.0,85.0,0
Santa Cruz,Santos,4.0,6.0,7.0,5.0,16.0,12.0,5.0,1.0,5.0,6.0,11.0,6.0,19.0,11.0,6.0,3.0,0.0,0.0,48.0,52.0,1.0,2.0,0.0,0.0,4.0,4.0,451.0,501.0,379.0,425.0,84.0,85.0,0
Santa Cruz,Gremio,9.0,2.0,9.0,1.0,21.0,5.0,3.0,2.0,13.0,4.0,8.0,1.0,12.0,16.0,3.0,4.0,2.0,3.0,47.0,53.0,3.0,4.0,0.0,0.0,1.0,4.0,419.0,479.0,355.0,402.0,85.0,84.0,2
Santa Cruz,Gremio,9.0,2.0,9.0,1.0,21.0,5.0,3.0,2.0,13.0,4.0,8.0,1.0,12.0,16.0,3.0,4.0,2.0,3.0,47.0,53.0,3.0,4.0,0.0,0.0,1.0,4.0,419.0,479.0,355.0,402.0,85.0,84.0,2
Santa Cruz,Corinthians,9.0,6.0,4.0,3.0,16.0,10.0,3.0,1.0,10.0,8.0,6.0,2.0,8.0,7.0,4.0,4.0,8.0,1.0,45.0,55.0,2.0,2.0,0.0,0.0,2.0,6.0,437.0,518.0,375.0,448.0,86.0,86.0,0
Santa Cruz,Corinthians,9.0,6.0,4.0,3.0,16.0,10.0,3.0,1.0,10.0,8.0,6.0,2.0,8.0,7.0,4.0,4.0,8.0,1.0,45.0,55.0,2.0,2.0,0.0,0.0,2.0,6.0,437.0,518.0,375.0,448.0,86.0,86.0,0
Santa Cruz,Chapecoense-sc,6.0,3.0,3.0,3.0,21.0,7.0,12.0,1.0,10.0,2.0,11.0,5.0,9.0,18.0,11.0,4.0,2.0,7.0,54.0,46.0,5.0,3.0,1.0,0.0,1.0,4.0,417.0,358.0,341.0,295.0,82.0,82.0,1
Santa Cruz,Chapecoense-sc,6.0,3.0,3.0,3.0,21.0,7.0,12.0,1.0,10.0,2.0,11.0,5.0,9.0,18.0,11.0,4.0,2.0,7.0,54.0,46.0,5.0,3.0,1.0,0.0,1.0,4.0,417.0,358.0,341.0,295.0,82.0,82.0,1
Santa Cruz,Atletico Paranaense,5.0,2.0,8.0,2.0,17.0,6.0,4.0,2.0,9.0,5.0,8.0,1.0,12.0,13.0,15.0,3.0,1.0,0.0,56.0,44.0,3.0,4.0,0.0,0.0,2.0,4.0,492.0,399.0,414.0,308.0,84.0,77.0,2
Santa Cruz,Atletico Paranaense,5.0,2.0,8.0,2.0,17.0,6.0,4.0,2.0,9.0,5.0,8.0,1.0,12.0,13.0,15.0,3.0,1.0,0.0,56.0,44.0,3.0,4.0,0.0,0.0,2.0,4.0,492.0,399.0,414.0,308.0,84.0,77.0,2
