home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Santos,Internacional,9.0,3.0,6.0,5.0,18.0,11.0,3.0,3.0,10.0,4.0,8.0,7.0,0.0,0.0,5.0,6.0,3.0,1.0,60.0,40.0,1.0,4.0,0.0,0.0,2.0,6.0,490.0,324.0,422.0,262.0,86.0,81.0,2
Santos,Internacional,4.0,3.0,4.0,6.0,13.0,11.0,5.0,2.0,6.0,6.0,7.0,5.0,9.0,14.0,5.0,5.0,2.0,0.0,49.0,51.0,1.0,1.0,0.0,0.0,2.0,4.0,457.0,454.0,374.0,364.0,82.0,80.0,0
Santos,Internacional,4.0,4.0,7.0,9.0,15.0,14.0,4.0,1.0,8.0,7.0,7.0,7.0,10.0,20.0,7.0,2.0,1.0,1.0,60.0,40.0,3.0,4.0,1.0,0.0,2.0,3.0,535.0,348.0,458.0,279.0,86.0,80.0,0
Santos,Internacional,4.0,1.0,2.0,11.0,11.0,15.0,5.0,3.0,4.0,4.0,7.0,11.0,19.0,19.0,7.0,4.0,0.0,3.0,62.0,38.0,5.0,5.0,0.0,0.0,1.0,4.0,516.0,316.0,428.0,235.0,83.0,74.0,1
Santos,Internacional,7.0,6.0,1.0,4.0,10.0,12.0,2.0,2.0,4.0,10.0,6.0,2.0,24.0,18.0,2.0,7.0,1.0,2.0,39.0,61.0,1.0,2.0,0.0,0.0,6.0,5.0,301.0,473.0,214.0,386.0,71.0,82.0,2
Santos,Internacional,4.0,4.0,4.0,6.0,10.0,13.0,2.0,3.0,9.0,8.0,1.0,5.0,19.0,14.0,4.0,4.0,2.0,1.0,51.0,49.0,2.0,2.0,0.0,0.0,2.0,2.0,434.0,406.0,352.0,316.0,81.0,78.0,1
Santos,Internacional,6.0,6.0,11.0,3.0,22.0,11.0,5.0,2.0,18.0,9.0,4.0,2.0,11.0,15.0,10.0,3.0,2.0,1.0,51.0,49.0,2.0,1.0,0.0,0.0,5.0,4.0,409.0,403.0,330.0,325.0,81.0,81.0,1
Santos,Palmeiras,5.0,1.0,5.0,5.0,13.0,8.0,3.0,2.0,11.0,6.0,2.0,2.0,0.0,0.0,6.0,4.0,6.0,3.0,46.0,54.0,3.0,3.0,0.0,1.0,0.0,2.0,281.0,325.0,215.0,244.0,77.0,75.0,2
Santos,Palmeiras,6.0,4.0,3.0,5.0,12.0,9.0,3.0,0.0,5.0,5.0,7.0,4.0,20.0,22.0,6.0,2.0,3.0,1.0,46.0,54.0,4.0,3.0,0.0,0.0,4.0,5.0,374.0,442.0,270.0,344.0,72.0,78.0,2
Santos,Palmeiras,5.0,6.0,2.0,6.0,9.0,16.0,2.0,4.0,6.0,5.0,3.0,11.0,16.0,14.0,10.0,7.0,2.0,3.0,45.0,55.0,1.0,3.0,0.0,0.0,6.0,4.0,406.0,490.0,318.0,403.0,78.0,82.0,2
Santos,Palmeiras,4.0,6.0,9.0,3.0,16.0,11.0,3.0,2.0,10.0,5.0,6.0,6.0,15.0,16.0,8.0,2.0,1.0,0.0,49.0,51.0,4.0,6.0,0.0,0.0,5.0,3.0,407.0,425.0,349.0,355.0,86.0,84.0,1
Santos,Palmeiras,6.0,3.0,8.0,7.0,15.0,13.0,1.0,3.0,8.0,4.0,7.0,9.0,16.0,13.0,2.0,3.0,3.0,0.0,56.0,44.0,1.0,2.0,0.0,1.0,3.0,4.0,474.0,364.0,421.0,306.0,89.0,84.0,2
Santos,Palmeiras,5.0,5.0,8.0,3.0,15.0,11.0,2.0,3.0,7.0,6.0,8.0,5.0,14.0,16.0,8.0,7.0,2.0,0.0,59.0,41.0,3.0,3.0,0.0,1.0,3.0,3.0,388.0,264.0,313.0,185.0,81.0,70.0,1
Santos,Palmeiras,4.0,6.0,8.0,6.0,12.0,15.0,0.0,3.0,5.0,6.0,7.0,9.0,14.0,17.0,4.0,2.0,1.0,2.0,49.0,51.0,3.0,2.0,0.0,0.0,4.0,4.0,428.0,452.0,356.0,377.0,83.0,83.0,0
Santos,Palmeiras,3.0,4.0,7.0,9.0,17.0,17.0,7.0,4.0,10.0,8.0,7.0,9.0,18.0,15.0,3.0,4.0,1.0,2.0,45.0,55.0,5.0,1.0,0.0,0.0,3.0,3.0,384.0,475.0,309.0,416.0,80.0,88.0,0
Santos,Sport Recife,4.0,5.0,4.0,5.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,7.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Santos,Sport Recife,8.0,4.0,6.0,5.0,20.0,12.0,6.0,3.0,15.0,8.0,5.0,4.0,10.0,10.0,9.0,5.0,2.0,0.0,60.0,40.0,1.0,3.0,0.0,0.0,4.0,6.0,617.0,398.0,531.0,329.0,86.0,83.0,2
Santos,Sport Recife,3.0,3.0,5.0,6.0,9.0,9.0,1.0,0.0,7.0,5.0,2.0,4.0,13.0,17.0,9.0,0.0,0.0,1.0,56.0,44.0,0.0,1.0,0.0,0.0,2.0,3.0,531.0,416.0,434.0,321.0,82.0,77.0,0
Santos,Sport Recife,6.0,4.0,4.0,7.0,11.0,12.0,1.0,1.0,7.0,5.0,4.0,7.0,20.0,21.0,4.0,4.0,5.0,1.0,52.0,48.0,3.0,4.0,0.0,1.0,4.0,3.0,463.0,409.0,381.0,344.0,82.0,84.0,2
Santos,Sport Recife,5.0,3.0,4.0,2.0,11.0,9.0,2.0,4.0,4.0,3.0,7.0,6.0,17.0,24.0,5.0,4.0,3.0,0.0,59.0,41.0,3.0,3.0,0.0,0.0,1.0,1.0,424.0,291.0,365.0,225.0,86.0,77.0,2
Santos,Sport Recife,1.0,2.0,9.0,4.0,14.0,8.0,4.0,2.0,8.0,5.0,6.0,3.0,11.0,19.0,7.0,1.0,1.0,3.0,67.0,33.0,1.0,4.0,0.0,0.0,2.0,1.0,583.0,286.0,494.0,204.0,85.0,71.0,1
Santos,Fluminense,6.0,5.0,7.0,2.0,19.0,11.0,6.0,4.0,14.0,2.0,5.0,9.0,0.0,0.0,6.0,4.0,9.0,0.0,53.0,47.0,3.0,2.0,0.0,0.0,4.0,3.0,442.0,386.0,373.0,317.0,84.0,82.0,2
Santos,Fluminense,6.0,5.0,4.0,6.0,13.0,16.0,3.0,5.0,5.0,8.0,8.0,8.0,16.0,10.0,5.0,5.0,3.0,5.0,50.0,50.0,0.0,0.0,0.0,0.0,4.0,4.0,445.0,447.0,366.0,366.0,82.0,82.0,2
Santos,Fluminense,3.0,2.0,8.0,5.0,15.0,7.0,4.0,0.0,8.0,1.0,7.0,6.0,7.0,10.0,5.0,4.0,2.0,2.0,52.0,48.0,2.0,2.0,0.0,0.0,2.0,3.0,521.0,484.0,451.0,419.0,87.0,87.0,1
Santos,Fluminense,10.0,1.0,10.0,6.0,24.0,8.0,4.0,1.0,19.0,4.0,5.0,4.0,15.0,17.0,12.0,2.0,2.0,1.0,69.0,31.0,2.0,3.0,0.0,0.0,1.0,6.0,531.0,240.0,459.0,158.0,86.0,66.0,2
Santos,Fluminense,10.0,4.0,11.0,5.0,22.0,10.0,1.0,1.0,16.0,5.0,6.0,5.0,25.0,14.0,6.0,1.0,1.0,3.0,42.0,58.0,3.0,2.0,0.0,0.0,3.0,8.0,377.0,517.0,308.0,441.0,82.0,85.0,2
Santos,Fluminense,2.0,3.0,5.0,3.0,8.0,7.0,1.0,1.0,5.0,4.0,3.0,3.0,20.0,19.0,4.0,4.0,1.0,1.0,62.0,38.0,3.0,4.0,0.0,1.0,2.0,1.0,450.0,280.0,382.0,211.0,85.0,75.0,1
Santos,Fluminense,5.0,3.0,3.0,10.0,11.0,16.0,3.0,3.0,5.0,9.0,6.0,7.0,17.0,10.0,2.0,4.0,0.0,0.0,45.0,55.0,2.0,2.0,0.0,0.0,4.0,3.0,388.0,468.0,296.0,380.0,76.0,81.0,2
