home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Sao Paulo,Internacional,3.0,2.0,9.0,2.0,15.0,5.0,3.0,1.0,7.0,3.0,8.0,2.0,0.0,0.0,7.0,3.0,0.0,1.0,52.0,48.0,0.0,0.0,0.0,0.0,2.0,1.0,464.0,420.0,378.0,341.0,81.0,81.0,2
Sao Paulo,Internacional,6.0,4.0,7.0,5.0,17.0,12.0,4.0,3.0,12.0,5.0,5.0,7.0,11.0,16.0,11.0,5.0,0.0,2.0,53.0,47.0,4.0,6.0,0.0,1.0,2.0,5.0,406.0,362.0,319.0,275.0,79.0,76.0,0
Sao Paulo,Internacional,3.0,3.0,4.0,8.0,9.0,13.0,2.0,2.0,2.0,5.0,7.0,8.0,30.0,8.0,6.0,3.0,0.0,1.0,48.0,52.0,4.0,2.0,0.0,0.0,3.0,3.0,397.0,449.0,305.0,348.0,77.0,78.0,1
Sao Paulo,Internacional,8.0,2.0,9.0,7.0,19.0,12.0,2.0,3.0,10.0,8.0,9.0,4.0,19.0,19.0,8.0,2.0,3.0,1.0,42.0,58.0,3.0,4.0,0.0,0.0,1.0,6.0,367.0,514.0,289.0,430.0,79.0,84.0,2
Sao Paulo,Internacional,5.0,7.0,4.0,8.0,11.0,19.0,2.0,4.0,7.0,14.0,4.0,5.0,15.0,19.0,7.0,2.0,0.0,2.0,70.0,30.0,2.0,1.0,0.0,0.0,2.0,4.0,607.0,256.0,530.0,193.0,87.0,75.0,0
Sao Paulo,Internacional,8.0,3.0,11.0,4.0,21.0,9.0,2.0,2.0,13.0,1.0,8.0,8.0,17.0,13.0,5.0,1.0,4.0,0.0,53.0,47.0,0.0,2.0,0.0,0.0,3.0,7.0,496.0,456.0,423.0,370.0,85.0,81.0,2
Sao Paulo,Internacional,2.0,3.0,3.0,4.0,10.0,8.0,5.0,1.0,7.0,7.0,3.0,1.0,11.0,12.0,7.0,2.0,2.0,2.0,59.0,41.0,4.0,5.0,0.0,0.0,2.0,1.0,511.0,374.0,459.0,309.0,90.0,83.0,0
Sao Paulo,Palmeiras,5.0,1.0,8.0,4.0,14.0,9.0,1.0,4.0,4.0,6.0,10.0,3.0,0.0,0.0,7.0,3.0,2.0,0.0,55.0,45.0,1.0,2.0,0.0,0.0,0.0,4.0,402.0,315.0,338.0,231.0,84.0,73.0,1
Sao Paulo,Palmeiras,6.0,3.0,8.0,3.0,15.0,8.0,1.0,2.0,7.0,4.0,8.0,4.0,18.0,21.0,13.0,2.0,3.0,3.0,45.0,55.0,2.0,5.0,0.0,0.0,3.0,5.0,335.0,403.0,254.0,327.0,76.0,81.0,2
Sao Paulo,Palmeiras,5.0,1.0,1.0,8.0,8.0,10.0,2.0,1.0,3.0,2.0,5.0,8.0,13.0,16.0,9.0,3.0,1.0,2.0,37.0,63.0,3.0,1.0,0.0,0.0,1.0,3.0,323.0,571.0,263.0,507.0,81.0,89.0,2
Sao Paulo,Palmeiras,1.0,4.0,6.0,3.0,7.0,8.0,0.0,1.0,3.0,4.0,4.0,4.0,21.0,17.0,4.0,2.0,2.0,3.0,60.0,40.0,2.0,3.0,0.0,0.0,2.0,1.0,458.0,312.0,371.0,210.0,81.0,67.0,0
Sao Paulo,Palmeiras,10.0,5.0,3.0,5.0,14.0,15.0,1.0,5.0,7.0,7.0,7.0,8.0,19.0,18.0,8.0,5.0,0.0,4.0,45.0,55.0,3.0,3.0,0.0,0.0,4.0,9.0,337.0,407.0,257.0,326.0,76.0,80.0,1
Sao Paulo,Palmeiras,3.0,2.0,2.0,5.0,7.0,9.0,2.0,2.0,4.0,5.0,3.0,4.0,16.0,14.0,1.0,5.0,3.0,3.0,42.0,58.0,2.0,1.0,0.0,0.0,1.0,2.0,317.0,436.0,240.0,362.0,76.0,83.0,1
Sao Paulo,Palmeiras,3.0,3.0,4.0,4.0,12.0,7.0,5.0,0.0,5.0,3.0,7.0,4.0,20.0,15.0,7.0,2.0,2.0,1.0,53.0,47.0,3.0,3.0,1.0,0.0,3.0,3.0,400.0,352.0,330.0,279.0,83.0,79.0,1
Sao Paulo,Palmeiras,3.0,7.0,6.0,9.0,12.0,23.0,3.0,7.0,6.0,12.0,6.0,11.0,17.0,9.0,3.0,7.0,1.0,2.0,39.0,61.0,3.0,1.0,0.0,0.0,4.0,2.0,285.0,446.0,210.0,370.0,74.0,83.0,0
Sao Paulo,Sport Recife,6.0,3.0,8.0,2.0,16.0,9.0,2.0,4.0,9.0,6.0,7.0,3.0,0.0,0.0,4.0,2.0,3.0,2.0,56.0,44.0,1.0,2.0,0.0,0.0,3.0,3.0,541.0,415.0,476.0,341.0,88.0,82.0,2
Sao Paulo,Sport Recife,3.0,2.0,14.0,5.0,21.0,8.0,4.0,1.0,11.0,4.0,10.0,4.0,9.0,19.0,3.0,3.0,2.0,0.0,62.0,38.0,0.0,2.0,0.0,0.0,2.0,3.0,511.0,313.0,418.0,201.0,82.0,64.0,1
Sao Paulo,Sport Recife,7.0,5.0,0.0,7.0,7.0,15.0,0.0,3.0,7.0,6.0,0.0,9.0,12.0,15.0,5.0,8.0,0.0,0.0,46.0,54.0,0.0,2.0,0.0,0.0,5.0,6.0,451.0,496.0,360.0,413.0,80.0,83.0,2
Sao Paulo,Sport Recife,7.0,3.0,10.0,1.0,18.0,8.0,1.0,4.0,10.0,5.0,8.0,3.0,14.0,21.0,7.0,5.0,7.0,1.0,68.0,32.0,2.0,3.0,0.0,1.0,3.0,7.0,514.0,237.0,441.0,151.0,86.0,64.0,1
Sao Paulo,Sport Recife,7.0,0.0,4.0,4.0,13.0,4.0,2.0,0.0,7.0,2.0,6.0,2.0,17.0,16.0,11.0,1.0,0.0,3.0,63.0,37.0,4.0,4.0,0.0,0.0,0.0,6.0,641.0,378.0,572.0,294.0,89.0,78.0,2
Sao Paulo,Sport Recife,9.0,4.0,8.0,2.0,20.0,7.0,3.0,1.0,16.0,4.0,4.0,3.0,16.0,14.0,7.0,5.0,2.0,0.0,50.0,50.0,0.0,1.0,0.0,0.0,4.0,7.0,392.0,401.0,331.0,338.0,84.0,84.0,2
Sao Paulo,Fluminense,8.0,0.0,3.0,4.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,7.0,4.0,3.0,2.0,58.0,42.0,1.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Sao Paulo,Fluminense,7.0,2.0,8.0,5.0,19.0,9.0,4.0,2.0,9.0,6.0,10.0,3.0,17.0,15.0,7.0,4.0,1.0,1.0,43.0,57.0,4.0,3.0,0.0,0.0,0.0,5.0,383.0,508.0,309.0,417.0,81.0,82.0,2
Sao Paulo,Fluminense,3.0,6.0,11.0,3.0,15.0,9.0,1.0,0.0,7.0,4.0,8.0,5.0,12.0,25.0,6.0,3.0,0.0,4.0,52.0,48.0,1.0,1.0,0.0,0.0,5.0,2.0,365.0,342.0,281.0,262.0,77.0,77.0,1
Sao Paulo,Fluminense,4.0,0.0,3.0,8.0,7.0,11.0,0.0,3.0,5.0,6.0,2.0,5.0,14.0,16.0,5.0,5.0,0.0,0.0,36.0,64.0,2.0,2.0,1.0,0.0,0.0,3.0,297.0,540.0,222.0,467.0,75.0,86.0,1
Sao Paulo,Fluminense,4.0,4.0,8.0,1.0,21.0,5.0,9.0,0.0,7.0,4.0,14.0,1.0,6.0,16.0,2.0,2.0,0.0,1.0,56.0,44.0,2.0,1.0,0.0,0.0,2.0,4.0,612.0,475.0,548.0,409.0,90.0,86.0,0
Sao Paulo,Fluminense,3.0,4.0,9.0,2.0,15.0,10.0,3.0,4.0,12.0,3.0,3.0,7.0,21.0,13.0,3.0,2.0,0.0,2.0,50.0,50.0,3.0,0.0,0.0,0.0,3.0,0.0,463.0,451.0,374.0,362.0,81.0,80.0,2
Sao Paulo,Fluminense,3.0,5.0,2.0,4.0,7.0,11.0,2.0,2.0,6.0,9.0,1.0,2.0,10.0,12.0,4.0,5.0,2.0,2.0,71.0,29.0,1.0,2.0,0.0,0.0,5.0,3.0,636.0,251.0,553.0,177.0,87.0,71.0,1
Sao Paulo,Fluminense,2.0,3.0,3.0,6.0,6.0,15.0,1.0,6.0,4.0,6.0,2.0,9.0,17.0,7.0,5.0,3.0,5.0,1.0,37.0,63.0,4.0,2.0,0.0,0.0,1.0,0.0,328.0,577.0,252.0,499.0,77.0,86.0,1
Sao Paulo,Flamengo,3.0,4.0,6.0,3.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,4.0,5.0,0.0,5.0,55.0,45.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Sao Paulo,Flamengo,1.0,2.0,3.0,6.0,7.0,8.0,3.0,0.0,2.0,6.0,5.0,2.0,18.0,9.0,11.0,2.0,1.0,3.0,45.0,55.0,4.0,3.0,0.0,0.0,2.0,1.0,371.0,459.0,288.0,383.0,78.0,83.0,1
Sao Paulo,Flamengo,3.0,3.0,2.0,6.0,5.0,10.0,0.0,1.0,4.0,5.0,1.0,5.0,14.0,12.0,3.0,8.0,0.0,1.0,40.0,60.0,1.0,1.0,0.0,0.0,3.0,1.0,374.0,528.0,299.0,448.0,80.0,85.0,2
