home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Sport Recife,Internacional,8.0,5.0,5.0,8.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,6.0,7.0,1.0,3.0,43.0,57.0,2.0,2.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Sport Recife,Internacional,3.0,3.0,4.0,2.0,11.0,7.0,4.0,2.0,5.0,2.0,6.0,5.0,18.0,19.0,9.0,4.0,0.0,2.0,62.0,38.0,4.0,5.0,0.0,0.0,2.0,2.0,474.0,288.0,370.0,184.0,78.0,64.0,1
Sport Recife,Internacional,3.0,2.0,4.0,4.0,12.0,7.0,5.0,1.0,6.0,5.0,6.0,2.0,10.0,10.0,8.0,4.0,3.0,0.0,43.0,57.0,4.0,1.0,0.0,0.0,1.0,1.0,382.0,534.0,302.0,458.0,79.0,86.0,2
Sport Recife,Internacional,5.0,8.0,6.0,5.0,13.0,14.0,2.0,1.0,10.0,8.0,3.0,6.0,6.0,19.0,2.0,7.0,1.0,3.0,48.0,52.0,3.0,2.0,0.0,0.0,4.0,2.0,438.0,450.0,355.0,382.0,81.0,85.0,0
Sport Recife,Internacional,3.0,4.0,7.0,5.0,14.0,11.0,4.0,2.0,9.0,6.0,5.0,5.0,21.0,20.0,5.0,4.0,2.0,1.0,51.0,49.0,4.0,1.0,0.0,0.0,3.0,3.0,434.0,449.0,364.0,356.0,84.0,79.0,0
Sport Recife,Palmeiras,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,1.0,1.0,49.0,51.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Sport Recife,Palmeiras,5.0,7.0,7.0,4.0,17.0,13.0,5.0,2.0,7.0,7.0,10.0,6.0,18.0,21.0,5.0,0.0,2.0,1.0,60.0,40.0,4.0,5.0,0.0,0.0,4.0,4.0,428.0,297.0,332.0,193.0,78.0,65.0,0
Sport Recife,Palmeiras,1.0,4.0,9.0,3.0,12.0,7.0,2.0,0.0,9.0,7.0,3.0,0.0,21.0,31.0,6.0,3.0,2.0,1.0,62.0,38.0,3.0,4.0,0.0,0.0,2.0,1.0,464.0,290.0,345.0,201.0,74.0,69.0,0
Sport Recife,Palmeiras,2.0,4.0,5.0,3.0,12.0,9.0,5.0,2.0,4.0,9.0,8.0,0.0,16.0,16.0,6.0,5.0,2.0,0.0,51.0,49.0,2.0,2.0,0.0,0.0,3.0,2.0,396.0,367.0,277.0,251.0,70.0,68.0,0
Sport Recife,Palmeiras,5.0,4.0,4.0,6.0,11.0,12.0,2.0,2.0,7.0,4.0,4.0,8.0,15.0,21.0,7.0,6.0,2.0,2.0,58.0,42.0,4.0,3.0,0.0,0.0,3.0,5.0,511.0,366.0,439.0,279.0,86.0,76.0,0
Sport Recife,Palmeiras,1.0,5.0,6.0,3.0,13.0,14.0,6.0,6.0,7.0,7.0,6.0,7.0,23.0,13.0,3.0,6.0,0.0,1.0,49.0,51.0,2.0,1.0,0.0,0.0,4.0,1.0,410.0,435.0,349.0,367.0,85.0,84.0,0
Sport Recife,Fluminense,2.0,3.0,2.0,6.0,6.0,13.0,2.0,4.0,2.0,3.0,4.0,10.0,0.0,0.0,3.0,2.0,1.0,0.0,56.0,44.0,2.0,3.0,0.0,0.0,3.0,1.0,440.0,336.0,363.0,266.0,83.0,79.0,2
Sport Recife,Fluminense,4.0,4.0,4.0,9.0,10.0,19.0,2.0,6.0,8.0,9.0,2.0,10.0,12.0,12.0,2.0,7.0,2.0,4.0,35.0,65.0,2.0,0.0,0.0,0.0,3.0,2.0,345.0,617.0,248.0,534.0,72.0,87.0,2
Sport Recife,Fluminense,6.0,4.0,11.0,3.0,26.0,10.0,9.0,3.0,14.0,5.0,12.0,5.0,15.0,18.0,15.0,3.0,0.0,2.0,70.0,30.0,5.0,4.0,0.0,1.0,2.0,5.0,506.0,226.0,436.0,153.0,86.0,68.0,1
Sport Recife,Fluminense,5.0,5.0,11.0,7.0,17.0,15.0,1.0,3.0,7.0,10.0,10.0,5.0,14.0,17.0,11.0,4.0,0.0,1.0,56.0,44.0,1.0,5.0,0.0,0.0,3.0,4.0,430.0,353.0,346.0,268.0,80.0,76.0,0
