home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Vasco DA Gama,Internacional,3.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,8.0,1.0,1.0,0.0,57.0,43.0,6.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Vasco DA Gama,Internacional,7.0,3.0,8.0,4.0,16.0,10.0,1.0,3.0,5.0,6.0,11.0,4.0,17.0,20.0,6.0,4.0,1.0,2.0,49.0,51.0,3.0,5.0,0.0,1.0,2.0,6.0,372.0,391.0,305.0,317.0,82.0,81.0,1
Vasco DA Gama,Internacional,3.0,4.0,3.0,8.0,10.0,19.0,4.0,7.0,3.0,12.0,7.0,7.0,13.0,16.0,0.0,10.0,0.0,5.0,30.0,70.0,0.0,2.0,0.0,0.0,3.0,1.0,285.0,639.0,214.0,566.0,75.0,89.0,2
Vasco DA Gama,Internacional,0.0,7.0,5.0,5.0,8.0,16.0,3.0,4.0,5.0,10.0,3.0,6.0,9.0,20.0,3.0,9.0,2.0,0.0,64.0,36.0,1.0,5.0,0.0,0.0,5.0,0.0,459.0,254.0,381.0,181.0,83.0,71.0,0
Vasco DA Gama,Palmeiras,8.0,9.0,5.0,2.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,22.0,8.0,4.0,8.0,5.0,48.0,52.0,3.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Vasco DA Gama,Palmeiras,2.0,3.0,5.0,1.0,12.0,7.0,5.0,3.0,9.0,6.0,3.0,1.0,17.0,13.0,9.0,5.0,3.0,4.0,41.0,59.0,1.0,2.0,0.0,0.0,2.0,1.0,354.0,530.0,289.0,464.0,82.0,88.0,1
Vasco DA Gama,Palmeiras,3.0,3.0,2.0,5.0,9.0,9.0,4.0,1.0,3.0,5.0,6.0,4.0,17.0,18.0,5.0,14.0,0.0,2.0,49.0,51.0,4.0,5.0,1.0,0.0,2.0,3.0,394.0,387.0,311.0,305.0,79.0,79.0,0
Vasco DA Gama,Palmeiras,3.0,6.0,4.0,6.0,8.0,20.0,1.0,8.0,5.0,12.0,3.0,8.0,17.0,27.0,3.0,6.0,1.0,1.0,45.0,55.0,7.0,4.0,1.0,0.0,4.0,3.0,309.0,374.0,225.0,294.0,73.0,79.0,0
Vasco DA Gama,Palmeiras,3.0,3.0,5.0,2.0,9.0,8.0,1.0,3.0,5.0,4.0,4.0,4.0,17.0,19.0,0.0,4.0,0.0,1.0,44.0,56.0,1.0,4.0,0.0,0.0,2.0,3.0,373.0,468.0,292.0,380.0,78.0,81.0,0
Vasco DA Gama,Sport Recife,3.0,6.0,7.0,5.0,14.0,13.0,4.0,2.0,8.0,5.0,6.0,8.0,0.0,0.0,2.0,5.0,4.0,2.0,44.0,56.0,2.0,2.0,0.0,0.0,5.0,1.0,372.0,477.0,305.0,394.0,82.0,83.0,2
Vasco DA Gama,Sport Recife,4.0,3.0,5.0,5.0,14.0,8.0,5.0,0.0,8.0,6.0,6.0,2.0,15.0,19.0,3.0,3.0,2.0,2.0,49.0,51.0,0.0,1.0,0.0,0.0,2.0,2.0,365.0,378.0,295.0,302.0,81.0,80.0,2
Vasco DA Gama,Sport Recife,7.0,2.0,5.0,6.0,13.0,13.0,1.0,5.0,8.0,9.0,5.0,5.0,27.0,10.0,1.0,2.0,1.0,4.0,40.0,60.0,4.0,3.0,0.0,0.0,1.0,4.0,382.0,546.0,305.0,462.0,80.0,85.0,2
Vasco DA Gama,Sport Recife,6.0,1.0,2.0,8.0,9.0,13.0,1.0,4.0,4.0,5.0,5.0,8.0,29.0,17.0,5.0,8.0,1.0,4.0,45.0,55.0,2.0,3.0,0.0,1.0,1.0,4.0,363.0,416.0,300.0,350.0,83.0,84.0,2
Vasco DA Gama,Fluminense,3.0,5.0,4.0,3.0,13.0,14.0,6.0,6.0,7.0,8.0,6.0,6.0,0.0,0.0,13.0,5.0,0.0,2.0,48.0,52.0,2.0,6.0,0.0,1.0,4.0,2.0,444.0,472.0,350.0,380.0,79.0,81.0,0
