home,away,shots_on_goal_home,shots_on_goal_away,shots_off_goal_home,shots_off_goal_away,total_shots_home,total_shots_away,blocked_shots_home,blocked_shots_away,shots_insidebox_home,shots_insidebox_away,shots_outsidebox_home,shots_outsidebox_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goalkeeper_saves_home,goalkeeper_saves_away,total_passes_home,total_passes_away,passes_accurate_home,passes_accurate_away,passes_percentage_home,passes_percentage_home_away,result
Vitoria,Internacional,5.0,2.0,2.0,8.0,11.0,10.0,4.0,0.0,6.0,4.0,5.0,6.0,16.0,19.0,2.0,5.0,1.0,1.0,40.0,60.0,1.0,6.0,0.0,0.0,2.0,3.0,270.0,386.0,175.0,309.0,65.0,80.0,2
Vitoria,Internacional,6.0,3.0,5.0,6.0,22.0,11.0,11.0,2.0,12.0,9.0,10.0,3.0,14.0,12.0,10.0,4.0,2.0,2.0,45.0,55.0,3.0,2.0,0.0,0.0,1.0,3.0,333.0,415.0,256.0,331.0,77.0,80.0,0
Vitoria,Palmeiras,1.0,4.0,7.0,4.0,14.0,10.0,6.0,2.0,7.0,7.0,7.0,3.0,15.0,16.0,7.0,2.0,1.0,1.0,38.0,62.0,1.0,6.0,0.0,0.0,2.0,0.0,350.0,589.0,292.0,513.0,83.0,87.0,0
Vitoria,Palmeiras,4.0,3.0,3.0,6.0,8.0,12.0,1.0,3.0,7.0,5.0,1.0,7.0,20.0,10.0,3.0,4.0,1.0,3.0,26.0,74.0,5.0,1.0,1.0,0.0,3.0,1.0,227.0,642.0,146.0,556.0,64.0,87.0,2
Vitoria,Palmeiras,2.0,12.0,4.0,9.0,9.0,26.0,3.0,5.0,4.0,12.0,5.0,14.0,25.0,18.0,3.0,3.0,0.0,0.0,53.0,47.0,2.0,1.0,0.0,0.0,8.0,2.0,471.0,416.0,383.0,321.0,81.0,77.0,0
Vitoria,Sport Recife,10.0,2.0,7.0,3.0,20.0,8.0,3.0,3.0,14.0,3.0,6.0,5.0,22.0,19.0,7.0,3.0,3.0,2.0,65.0,35.0,4.0,6.0,0.0,2.0,0.0,7.0,472.0,260.0,399.0,166.0,85.0,64.0,2
Vitoria,Sport Recife,3.0,4.0,5.0,4.0,11.0,10.0,3.0,2.0,3.0,7.0,8.0,3.0,18.0,13.0,7.0,4.0,1.0,4.0,55.0,45.0,3.0,3.0,1.0,0.0,2.0,2.0,428.0,350.0,322.0,224.0,75.0,64.0,0
Vitoria,Sport Recife,4.0,3.0,5.0,5.0,15.0,9.0,6.0,1.0,5.0,6.0,10.0,3.0,17.0,14.0,5.0,7.0,1.0,1.0,49.0,51.0,2.0,2.0,0.0,0.0,3.0,3.0,439.0,436.0,352.0,334.0,80.0,77.0,2
Vitoria,Fluminense,7.0,1.0,12.0,6.0,26.0,10.0,7.0,3.0,11.0,7.0,15.0,3.0,16.0,22.0,13.0,6.0,4.0,3.0,54.0,46.0,3.0,4.0,0.0,0.0,1.0,7.0,311.0,273.0,201.0,179.0,65.0,66.0,1
Vitoria,Fluminense,4.0,4.0,10.0,3.0,19.0,8.0,5.0,1.0,11.0,6.0,8.0,2.0,9.0,11.0,6.0,3.0,2.0,2.0,54.0,46.0,1.0,3.0,0.0,1.0,2.0,2.0,417.0,367.0,338.0,282.0,81.0,77.0,1
Vitoria,Fluminense,1.0,4.0,2.0,8.0,7.0,18.0,4.0,6.0,2.0,10.0,5.0,8.0,18.0,7.0,3.0,9.0,3.0,1.0,34.0,66.0,2.0,1.0,0.0,0.0,2.0,0.0,274.0,517.0,200.0,438.0,73.0,85.0,0
Vitoria,Sao Paulo,2.0,4.0,7.0,8.0,15.0,13.0,6.0,1.0,6.0,9.0,10.0,4.0,21.0,19.0,6.0,5.0,0.0,5.0,44.0,56.0,4.0,3.0,0.0,0.0,4.0,1.0,311.0,406.0,235.0,329.0,76.0,81.0,2
Vitoria,Sao Paulo,5.0,7.0,7.0,6.0,14.0,17.0,2.0,4.0,7.0,10.0,7.0,7.0,21.0,16.0,3.0,8.0,3.0,1.0,44.0,56.0,3.0,2.0,0.0,0.0,5.0,4.0,345.0,457.0,273.0,378.0,79.0,83.0,0
Vitoria,Sao Paulo,3.0,6.0,6.0,7.0,15.0,14.0,6.0,1.0,7.0,11.0,8.0,3.0,8.0,24.0,4.0,6.0,0.0,0.0,60.0,40.0,1.0,2.0,0.0,1.0,5.0,3.0,483.0,315.0,423.0,243.0,88.0,77.0,0
Vitoria,Flamengo,6.0,6.0,9.0,7.0,17.0,16.0,2.0,3.0,8.0,7.0,9.0,9.0,14.0,8.0,6.0,6.0,1.0,4.0,45.0,55.0,3.0,1.0,1.0,0.0,4.0,5.0,409.0,494.0,330.0,412.0,81.0,83.0,0
Vitoria,Flamengo,4.0,3.0,9.0,5.0,18.0,12.0,5.0,4.0,11.0,5.0,7.0,7.0,17.0,13.0,4.0,2.0,0.0,2.0,44.0,56.0,4.0,3.0,1.0,0.0,1.0,3.0,366.0,472.0,287.0,397.0,78.0,84.0,0
Vitoria,Flamengo,6.0,5.0,10.0,5.0,21.0,10.0,5.0,0.0,11.0,5.0,10.0,5.0,24.0,10.0,4.0,5.0,2.0,2.0,66.0,34.0,3.0,2.0,0.0,1.0,3.0,3.0,545.0,286.0,484.0,206.0,89.0,72.0,1
Vitoria,Santos,6.0,6.0,8.0,3.0,23.0,9.0,9.0,0.0,13.0,6.0,10.0,3.0,15.0,11.0,13.0,2.0,3.0,2.0,56.0,44.0,3.0,2.0,0.0,0.0,3.0,4.0,434.0,358.0,371.0,274.0,85.0,77.0,0
